"","PLT","LAT","YEAR","LON","treeNumber","plotArea","totalBiomass","biomassDensity","sumBasalArea","averageBasalArea","treeNumberArea"
"58","PLT_00000056",-0.655935346,2006,-59.94873987,145,0.25,87562.7742156984,350251.096862794,68379.8072137088,273519.228854835,580
"59","PLT_00000057",-0.657458201,2006,-59.90495779,130,0.25,97280.5467829116,389122.187131646,62366.7743156137,249467.097262455,520
"60","PLT_00000058",-0.65809,2015,-76.44879,696,1,256655.754218862,256655.754218862,276384.32560088,276384.32560088,696
"61","PLT_00000059",-0.660313554,2006,-59.9190442,139,0.25,88958.360532335,355833.44212934,71630.3877702899,286521.55108116,556
"62","PLT_00000060",-0.661646052,2006,-60.00546622,160,0.25,100489.771160289,401959.084641156,79022.6574147157,316090.629658863,640
"63","PLT_00000061",-0.666667,1988,-77.666667,183,0.1,52284.9008194955,522849.008194955,49714.9183448951,497149.183448951,1830
"64","PLT_00000062",-0.672496395,2006,-59.9150467,158,0.25,102526.935637662,410107.742550649,78566.8376579909,314267.350631963,632
"65","PLT_00000063",-0.672686751,2006,-59.94093524,136,0.25,95870.1651475769,383480.660590308,74179.2541834382,296717.016733753,544
"66","PLT_00000064",-0.67545,2015,-76.44434,709,1,232823.878352159,232823.878352159,257188.116214308,257188.116214308,709
"67","PLT_00000065",-0.68029,2015,-76.38311,644,1,249547.113779639,249547.113779639,260012.421300393,260012.421300393,644
"68","PLT_00000066",-0.681252811,2006,-59.9190442,148,0.25,84436.8241055461,337747.296422184,69504.2368882596,278016.947553038,592
"69","PLT_00000067",-0.68166,2015,-76.47849,612,1,397563.959852426,397563.959852426,355689.250991807,355689.250991807,612
"70","PLT_00000068",-0.687534588,2006,-59.99404481,152,0.25,95532.7483244616,382130.993297846,76706.8734148993,306827.493659597,608
"71","PLT_00000069",-0.69026,2015,-76.41151,687,1,262191.243332803,262191.243332803,279065.223706908,279065.223706908,687
"72","PLT_00000070",-0.696862075,2006,-59.98528839,147,0.25,112146.982700895,448587.930803579,86209.0601346058,344836.240538423,588
"73","PLT_00000071",-0.6,2010,-76.1,543,0.8,207956.052526377,259945.065657972,217721.795671733,272152.244589667,678.75
"74","PLT_00000072",-0.6,2010,-76.2,471,1,274467.587928815,274467.587928815,250021.295141454,250021.295141454,471
"75","PLT_00000073",-0.70051,2015,-76.43198,662,1,395014.129411774,395014.129411774,353473.981392569,353473.981392569,662
"76","PLT_00000074",-0.706379919,2006,-59.97805483,161,0.25,102125.416035631,408501.664142524,80665.1364224873,322660.545689949,644
"77","PLT_00000075",-0.7,2010,-76.4,553,1,253956.353274814,253956.353274814,258087.334279545,258087.334279545,553
"78","PLT_00000076",-0.7,2010,-76.5,675,1,204310.45112192,204310.45112192,235524.415841463,235524.415841463,675
"79","PLT_00000077",-0.7,2010,-76.5,539,1,297993.906903395,297993.906903395,289332.829413986,289332.829413986,539
"80","PLT_00000078",-0.8930833,2015,29.7260666,368,1,116680.849387515,116680.849387515,148858.406718292,148858.406718292,368
"81","PLT_00000079",-0.896974746,2006,-59.69296685,138,0.25,110918.891536764,443675.566147057,82778.9528027623,331115.811211049,552
"82","PLT_00000080",-0.902913881,2006,-59.6966217,124,0.25,136498.20645476,545992.825819038,97355.9540422556,389423.816169022,496
"83","PLT_00000081",-0.91037587,2006,-59.70849997,135,0.25,86421.377378339,345685.509513356,70885.3834818531,283541.533927412,540
