"","GFBIRawName","family","genus","species","meanWD","sdWD","levelWD","nInd"
"8594","Erythroxylum macrocnemium","Erythroxylaceae","Erythroxylum","macrocnemium",0.789611111111111,0.0941339098036177,"genus",16
"8595","Erythroxylum macrophyllum","Erythroxylaceae","Erythroxylum","macrophyllum",0.71,0.0708232617216773,"species",1
"8596","Erythroxylum mannii","Erythroxylaceae","Erythroxylum","mannii",0.546777777777778,0.0708232617216773,"species",9
"8597","Erythroxylum martii","Erythroxylaceae","Erythroxylum","martii",0.789611111111111,0.0941339098036177,"genus",16
"8598","Erythroxylum mexicana","Erythroxylaceae","Erythroxylum","mexicana",0.789611111111111,0.0941339098036177,"genus",16
"8599","Erythroxylum mikanii","Erythroxylaceae","Erythroxylum","mikanii",0.789611111111111,0.0941339098036177,"genus",16
"8600","Erythroxylum mucronatum","Erythroxylaceae","Erythroxylum","mucronatum",0.789611111111111,0.0941339098036177,"genus",16
"8601","Erythroxylum nobile","Erythroxylaceae","Erythroxylum","nobile",0.789611111111111,0.0941339098036177,"genus",16
"8602","Erythroxylum orinocense","Erythroxylaceae","Erythroxylum","orinocense",0.789611111111111,0.0941339098036177,"genus",16
"8603","Erythroxylum patens","Erythroxylaceae","Erythroxylum","patens",0.789611111111111,0.0941339098036177,"genus",16
"8636","Erythroxylum pavonii","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8604","Erythroxylum pelleterianum","Erythroxylaceae","Erythroxylum","pelleterianum",0.789611111111111,0.0941339098036177,"genus",16
"8605","Erythroxylum platycladum","Erythroxylaceae","Erythroxylum","platycladum",0.789611111111111,0.0941339098036177,"genus",16
"8606","Erythroxylum rotundifolium","Erythroxylaceae","Erythroxylum","rotundifolium",0.789611111111111,0.0941339098036177,"genus",16
"8607","Erythroxylum rufum","Erythroxylaceae","Erythroxylum","rufum",0.789611111111111,0.0941339098036177,"genus",16
"8608","Erythroxylum ruryi","Erythroxylaceae","Erythroxylum","ruryi",0.789611111111111,0.0941339098036177,"genus",16
"8609","Erythroxylum shatona","Erythroxylaceae","Erythroxylum","shatona",0.789611111111111,0.0941339098036177,"genus",16
"8610","Erythroxylum sphaeranthum","Erythroxylaceae","Erythroxylum","sphaeranthum",0.789611111111111,0.0941339098036177,"genus",16
"8638","Erythroxylum sppCamorin1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8639","Erythroxylum sppCarlosbo1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8634","Erythroxylum sppFPnet1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8632","Erythroxylum sppGF1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8631","Erythroxylum sppGuangf1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8633","Erythroxylum sppGuanup1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8630","Erythroxylum sppLaraya1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8626","Erythroxylum sppMadidiri1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8624","Erythroxylum sppMagsasay1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8629","Erythroxylum sppMariquit1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8627","Erythroxylum sppNosymang1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8619","Erythroxylum sppNosymang2","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8628","Erythroxylum sppNosymang3","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8618","Erythroxylum sppPerinet1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8620","Erythroxylum sppPerinet2","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8622","Erythroxylum sppPerinet3","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8621","Erythroxylum sppPerinet4","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8623","Erythroxylum sppQuiapaca1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8625","Erythroxylum sppRAINFOR1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8635","Erythroxylum sppRoundslo1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8637","Erythroxylum sppSCA1","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8640","Erythroxylum sppSCA2","Erythroxylaceae","Erythroxylum",NA,0.789611111111111,0.0941339098036177,"genus",16
"8611","Erythroxylum spruceanum","Erythroxylaceae","Erythroxylum","spruceanum",0.789611111111111,0.0941339098036177,"genus",16
"8612","Erythroxylum squamatum","Erythroxylaceae","Erythroxylum","squamatum",0.71,0.0708232617216773,"species",1
"8613","Erythroxylum suberosum","Erythroxylaceae","Erythroxylum","suberosum",0.789611111111111,0.0941339098036177,"genus",16
"8614","Erythroxylum subracemosum","Erythroxylaceae","Erythroxylum","subracemosum",0.789611111111111,0.0941339098036177,"genus",16
"8615","Erythroxylum ulei","Erythroxylaceae","Erythroxylum","ulei",0.789611111111111,0.0941339098036177,"genus",16
"8616","Erythroxylum urbanii","Erythroxylaceae","Erythroxylum","urbanii",0.789611111111111,0.0941339098036177,"genus",16
"8617","Erythroxylum vacciniifolium","Erythroxylaceae","Erythroxylum","vacciniifolium",0.789611111111111,0.0941339098036177,"genus",16
"17616","Erytocylon manii",NA,"No","suitable",0.611246215561075,0.124033048371268,"dataset",20776
"8641","Escallonia bifida","Escalloniaceae","Escallonia","bifida",0.567333333333333,0.0941339098036177,"genus",3
"8642","Escallonia leucantha","Escalloniaceae","Escallonia","leucantha",0.567333333333333,0.0941339098036177,"genus",3
"8643","Escallonia megapotamica","Escalloniaceae","Escallonia","megapotamica",0.567333333333333,0.0941339098036177,"genus",3
"8645","Escallonia paniculata","Escalloniaceae","Escallonia","paniculata",0.567333333333333,0.0941339098036177,"genus",3
"8646","Escallonia sppSabanaru1","Escalloniaceae","Escallonia",NA,0.567333333333333,0.0941339098036177,"genus",3
"8644","Escalonia myrtilloides","Escalloniaceae","Escallonia","myrtilloides",0.67,0.0708232617216773,"species",1
"8647","Eschweilera aguilarii","Lecythidaceae","Eschweilera","aguilarii",0.825263020833333,0.0941339098036177,"genus",32
"8648","Eschweilera alata","Lecythidaceae","Eschweilera","alata",0.964,0.0708232617216773,"species",1
"8649","Eschweilera albiflora","Lecythidaceae","Eschweilera","albiflora",0.86,0.0708232617216773,"species",1
"8650","Eschweilera alvimii","Lecythidaceae","Eschweilera","alvimii",0.825263020833333,0.0941339098036177,"genus",32
