Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Canarium oleiferum,Canarium oleiferum,,1,Accepted,Canarium oleiferum,Baill.,Burseraceae,tpl, ,
Canarium ovatum,Canarium ovatum,,1,Accepted,Canarium ovatum,Engl.,Burseraceae,tpl;tropicos;usda, ,
Canarium paniculatum,Canarium paniculatum,,1,Accepted,Canarium paniculatum,(Lam.) Benth. ex Engl.,Burseraceae,tpl;tropicos, ,
Canarium patentinervium,Canarium patentinervium,,1,Accepted,Canarium patentinervium,Miq.,Burseraceae,tpl, ,
Canarium pilosum,Canarium pilosum,,1,Accepted,Canarium pilosum,A.W.Benn.,Burseraceae,tpl, ,
Canarium pseudodecumanum,Canarium pseudodecumanum,,1,Accepted,Canarium pseudodecumanum,Hochr.,Burseraceae,tpl, ,
Canarium pseudosumatranum,Canarium pseudosumatranum,,1,Accepted,Canarium pseudosumatranum,Leenh.,Burseraceae,tpl, ,
Canarium rigidum,Canarium rigidum,,1,Accepted,Canarium rigidum,(Blume) Zipp. ex Miq.,Burseraceae,tpl, ,
Canarium salomonense,Canarium solomonense,,0.99,Accepted,Canarium solomonense,B.L.Burtt,Burseraceae,tpl, ,
Canarium schweinfurthii,Canarium schweinfurthii,,1,Accepted,Canarium schweinfurthii,Engl.,Burseraceae,tropicos;usda, ,
Canarium solomonense,Canarium solomonense,,1,Accepted,Canarium solomonense,B.L.Burtt,Burseraceae,tpl, ,
Canarium sppGenting1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppIN1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppKhaoyai1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppKhaoyai2,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppNosymang1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppPacific1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppPalanan1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppPalanan2,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppTEAM1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppTEAM2,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppTEAM3,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppTEAM4,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppVN1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppVarirata1,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppVarirata2,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium sppVarirata3,Canarium,,0.9,Accepted,Canarium,,Burseraceae,tpl, ,
Canarium strictum,Canarium strictum,,1,Accepted,Canarium strictum,Roxb.,Burseraceae,tpl;tropicos;usda, ,
Canarium subulatum,Canarium subulatum,,1,Accepted,Canarium subulatum,Guillaumin,Burseraceae,tpl, ,
Canarium tramdenum,Canarium tramdenum,,1,Synonym,Canarium pimela,K.D.Koenig,Burseraceae,tpl, ,
Canarium trifoliolatum,Canarium trifoliolatum,,1,Accepted,Canarium trifoliolatum,Engl.,Burseraceae,tpl, ,
Canarium vanikoroense,Canarium vanikoroense,,1,Accepted,Canarium vanikoroense,Leenh.,Burseraceae,tpl, ,
Canarium vitiense,Canarium vitiense,,1,Accepted,Canarium vitiense,A.Gray,Burseraceae,tpl, ,
Canarium vulgare,Canarium vulgare,,1,Accepted,Canarium vulgare,Leenh.,Burseraceae,tpl;tropicos, ,
Canavalia acuminata,Canavalia acuminata,,1,Accepted,Canavalia acuminata,Rose,Fabaceae,ildis;tropicos, ,
Candolleodendron viridiflora,Candolleodendron,,0.5,No opinion,,,,tpl;ildis, [Partial match] ,
Canella winterana,Canella winterana,,1,Accepted,Canella winterana,(L.) Gaertn.,Canellaceae,tpl;tropicos;usda, ,
Canella winteriana,Canella winterana,,0.98,Accepted,Canella winterana,(L.) Gaertn.,Canellaceae,tpl;tropicos;usda, ,
Canephora sppNosymang1,Canephora,,0.9,Accepted,Canephora,,Rubiaceae,tpl, ,
Canna indica,Canna indica,,1,Accepted,Canna indica,L.,Cannaceae,tpl;tropicos;usda, ,
Canthium arnoldianum,Canthium arnoldianum,,1,Synonym,Psydrax arnoldiana,(De Wild. & T.Durand) Bridson,Rubiaceae,tpl, ,
Canthium coprosmoides,Canthium coprosmoides,,1,Synonym,Cyclophyllum coprosmoides,(F.Muell.) S.T.Reynolds & R.J.F.Hend.,Rubiaceae,tpl, ,
Canthium cymigerum,Canthium cymigerum,,1,Synonym,Psydrax cymigera,(Valeton) S.T.Reynolds & R.J.F.Hend.,Rubiaceae,tpl, ,
Canthium dicoccum,Canthium dicoccum,,1,Synonym,Psydrax dicoccos,Gaertn.,Rubiaceae,tpl, ,
Canthium glabrum,Canthium glabrum,,1,Accepted,Canthium glabrum,Blume,Rubiaceae,tpl, ,
Canthium gynochthodes,Canthium gynochthodes,,1,Accepted,Canthium gynochthodes,Baill.,Rubiaceae,tpl;tropicos, ,
Canthium inerme,Canthium inerme,,1,Accepted,Canthium inerme,(L.f.) Kuntze,Rubiaceae,tpl, ,
Canthium monstrosum,Canthium monstrosum,,1,Accepted,Canthium monstrosum,(A.Rich.) Merr.,Rubiaceae,tpl, ,
Canthium oddonnii,Canthium oddonii,,0.98,Synonym,Psydrax palma,(K.Schum.) Bridson,Rubiaceae,tpl, ,
Canthium odoratum,Canthium odoratum,,1,Synonym,Psydrax odorata,(G.Forst.) A.C.Sm. & S.P.Darwin,Rubiaceae,tpl, ,
Canthium oleifolium,Canthium oleifolium,,1,Synonym,Psydrax oleifolia,(Hook.) S.T.Reynolds & R.J.F.Hend.,Rubiaceae,tpl, ,
Canthium oligocarpum,Canthium oligocarpum,,1,Accepted,Canthium oligocarpum,Hiern,Rubiaceae,tpl, ,
Canthium sppFPnet1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppGA1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppLR1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppMtcam1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppMtcam2,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppPande1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppPerinet1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppPerinet2,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppPugu1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppSL1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppTEAM1,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium sppTEAM2,Canthium,,0.9,Accepted,Canthium,,Rubiaceae,tpl, ,
Canthium subcordatum,Canthium subcordatum,,1,Synonym,Psydrax subcordata,(DC.) Bridson,Rubiaceae,tpl;tropicos, ,
Canthium vulgare,Canthium vulgare,,1,Synonym,Psydrax parviflora,(Afzel.) Bridson,Rubiaceae,tpl, ,
Capirona decorticans,Capirona decorticans,,1,Accepted,Capirona decorticans,Spruce,Rubiaceae,tpl;tropicos, ,
Capirona leiophloea,Capirona leiophloea,,1,Synonym,Capirona decorticans,Spruce,Rubiaceae,tpl;tropicos, ,
Capirona sppFPnet1,Capirona,,0.9,Accepted,Capirona,,Rubiaceae,tpl, ,
Capirona sppRAINFOR1,Capirona,,0.9,Accepted,Capirona,,Rubiaceae,tpl, ,
Capirona sppYanam11,Capirona,,0.9,Accepted,Capirona,,Rubiaceae,tpl, ,
Capirona sppYanam21,Capirona,,0.9,Accepted,Capirona,,Rubiaceae,tpl, ,
Capparaceae sppGF1,Capparaceae,,0.9,Accepted,Capparaceae,,,tpl;usda, ,
Capparaceae sppSCA1,Capparaceae,,0.9,Accepted,Capparaceae,,,tpl;usda, ,
Capparidastrum discolor,Capparidastrum discolor,,1,Accepted,Capparidastrum discolor,(Donn.Sm.) Cornejo & Iltis,Capparaceae,tpl, ,
Capparidastrum frondosum,Capparidastrum frondosum,,1,Accepted,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Capparaceae,tpl;tropicos, ,
Capparis amplissima,Capparis amplissima,,1,Accepted,Capparis amplissima,Lam.,Capparaceae,tpl;usda, ,
Capparis baduca,Capparis baduca,,1,Invalid,,,,tropicos, ,
Capparis baducca,Capparis baducca,,1,Accepted,Capparis baducca,L.,Capparaceae,tpl;usda, ,
Capparis callophylla,Capparis callophylla,,1,Accepted,Capparis callophylla,Blume,Capparaceae,tpl, ,
Capparis chrysomeia,Capparis chrysomeia,,1,Accepted,Capparis chrysomeia,Bojer,Capparaceae,tpl;tropicos, ,
Capparis cynophallophora,Capparis cynophallophora,,1,Synonym,Quadrella cynophallophora,(L.) Hutch.,Capparaceae,tpl, ,
Capparis detonsa,Capparis detonsa,,1,Accepted,Capparis detonsa,Triana & Planch.,Capparaceae,tpl;tropicos, ,
Capparis ecuadorica,Capparis ecuadorica,,1,Synonym,Cynophalla ecuadorica,(Iltis) Iltis & Cornejo,Capparaceae,tpl;tropicos, ,
