Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"93"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"94"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"95"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"96"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"97"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"98"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"99"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"100"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"101"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"102"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"103"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"104"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
