"","binomial"
"390","unknown sppTEAM2"
"391","Macaranga barteri"
"392","Xymalos monospora"
"393","Newtonia buchananii"
"394","Myrianthus holstii"
"395","Carapa grandiflora"
"396","Psychotria mahonii"
"397","Harungana madagascariensis"
"398","Trilepisium madagascariensis"
"399","Albizia gummifera"
"400","Bridelia micrantha"
"401","Macaranga barteri"
"402","Sapium ellipticum"
"403","Ilex mitis"
"404","Neoboutonia macrocalyx"
"405","unknown sppTEAM9"
"406","Allophylus abyssinicus"
"407","Maesa lanceolata"
"408","Millettia dura"
"409","Xymalos monospora"
"410","Cassipourea gummifera"
"411","Ilex mitis"
"412","Macaranga kilimandscharica"
"413","Sapium ellipticum"
"414","Maesa lanceolata"
"415","Cassipourea gummifera"
"416","Cassipourea sppTEAM1"
"417","Leptonychia mildbraedii"
"418","Macaranga barteri"
"419","Sapium ellipticum"
"420","Cassipourea sppTEAM1"
"421","Psychotria mahonii"
"422","Syzygium guineense"
"423","Myrianthus holstii"
"424","Croton macrostachyus"
"425","Maesa lanceolata"
"426","Xymalos monospora"
"427","Myrianthus holstii"
"428","unknown sppTEAM2"
"429","Alangium chinense"
"430","Sapium ellipticum"
"431","Croton macrostachyus"
"432","Macaranga barteri"
"433","Millettia dura"
"434","Tabernaemontana holstii"
"435","Millettia dura"
"436","unknown sppTEAM9"
"437","Vepris nobilis"
"438","Millettia dura"
"439","Macaranga barteri"
"440","Bridelia micrantha"
"441","Sapium ellipticum"
"442","Macaranga kilimandscharica"
"443","Psychotria africana"
"444","Leptonychia mildbraedii"
"445","Maesa lanceolata"
"446","Leptonychia mildbraedii"
"447","Maesa lanceolata"
"448","Millettia dura"
"449","Xymalos monospora"
"450","Myrianthus holstii"
"451","Leptonychia mildbraedii"
"452","Ocotea usambarensis"
"453","Parinari excelsa"
"454","Syzygium guineense"
"455","Sapium ellipticum"
"456","Myrianthus holstii"
"457","Maesopsis eminii"
"458","Ilex mitis"
"459","Ficalhoa laurifolia"
"460","Ilex mitis"
"461","Xymalos monospora"
"462","Ilex mitis"
"463","Strombosia scheffleri"
"464","Carapa grandiflora"
"465","Alangium chinense"
"466","Macaranga barteri"
"467","Xymalos monospora"
"468","Millettia dura"
"469","Sapium ellipticum"
"470","Prunus africana"
"471","Millettia dura"
"472","Millettia dura"
"473","Macaranga kilimandscharica"
"474","Leptonychia mildbraedii"
"475","Carapa grandiflora"
"476","Sapium ellipticum"
"477","Millettia dura"
"478","Carapa grandiflora"
"479","Tabernaemontana holstii"
"480","Albizia gummifera"
"481","Syzygium guineense"
"482","Erythrina abyssinica"
"483","Macaranga barteri"
"484","Polyscias fulva"
"485","Xymalos monospora"
"486","Macaranga barteri"
"487","Ocotea usambarensis"
"488","Leptonychia mildbraedii"
"489","Millettia dura"
"490","Dichaetanthera corymbosa"
"491","Syzygium guineense"
"492","unknown sppTEAM2"
"493","Xymalos monospora"
"494","Maesopsis eminii"
"495","Polyscias fulva"
"496","Carapa grandiflora"
"497","Alangium chinense"
"498","Myrianthus holstii"
"499","Carapa grandiflora"
"500","Syzygium guineense"
"501","Chrysophyllum sppTEAM5"
"502","Lovoa sppTEAM1"
"503","Albizia gummifera"
"504","Carapa grandiflora"
"505","Macaranga kilimandscharica"
"506","Xymalos monospora"
"507","Prunus africana"
"508","Lovoa sppTEAM1"
"509","Albizia gummifera"
"510","Strombosia scheffleri"
"511","Polyscias fulva"
"512","Millettia dura"
"513","Leptonychia mildbraedii"
"514","Macaranga kilimandscharica"
"515","Xymalos monospora"
"516","Cassipourea sppTEAM1"
"517","Xymalos monospora"
"518","Ocotea usambarensis"
"519","Psychotria mahonii"
"520","Neoboutonia macrocalyx"
"521","Pauridiantha callicarpoides"
"522","Trichoscypha submontana"
"523","Myrianthus holstii"
"524","Leptonychia mildbraedii"
"525","Parinari excelsa"
"526","Syzygium guineense"
"527","Myrianthus holstii"
"528","unknown sppTEAM2"
"529","Alangium chinense"
"530","Pouteria altissima"
"531","Newtonia buchananii"
"532","Carapa grandiflora"
"533","unknown sppTEAM2"
"534","Dichaetanthera corymbosa"
"535","Croton macrostachyus"
"536","Allophylus abyssinicus"
"537","Ilex mitis"
"538","Macaranga barteri"
"539","Prunus africana"
"540","Polyscias fulva"
"541","Ilex mitis"
"542","Psychotria mahonii"
"543","Macaranga barteri"
"544","Bridelia micrantha"
"545","Ficus sur"
"546","Macaranga kilimandscharica"
"547","Prunus africana"
"548","Leptonychia mildbraedii"
"549","Carapa grandiflora"
"550","Macaranga kilimandscharica"
"551","Ilex mitis"
"552","Millettia dura"
"553","Erythrina abyssinica"
"554","Leptonychia mildbraedii"
"555","Croton macrostachyus"
"556","Leptonychia mildbraedii"
"557","Sapium ellipticum"
"558","Sapium ellipticum"
"559","Polyscias fulva"
"560","Myrianthus holstii"
"561","Ocotea usambarensis"
"562","unknown sppTEAM9"
"563","Ficus natelensis"
"564","Millettia dura"
"565","Macaranga barteri"
"566","Alangium chinense"
"567","Albizia gummifera"
"568","Prunus africana"
"569","Alangium chinense"
"570","unknown sppTEAM2"
"571","Sapium ellipticum"
"572","Ilex mitis"
"573","Psychotria africana"
"574","unknown sppTEAM9"
"575","Xymalos monospora"
"576","Lovoa sppTEAM1"
"577","Carapa grandiflora"
"578","Xylopia sppTEAM2"
"579","Millettia dura"
"580","Macaranga kilimandscharica"
"581","Sapium ellipticum"
"582","Erythrina abyssinica"
"583","Millettia dura"
"584","Millettia dura"
"585","Alangium chinense"
"586","Albizia gummifera"
"587","unknown sppTEAM9"
"588","Bridelia micrantha"
"589","Sapium ellipticum"
"590","Prunus africana"
"591","Bridelia micrantha"
"592","Leptonychia mildbraedii"
"593","Carapa grandiflora"
"594","Carapa grandiflora"
"595","Millettia dura"
"596","Newtonia buchananii"
"597","Sapium ellipticum"
"598","Bridelia micrantha"
"599","Millettia dura"
"600","Bridelia micrantha"
"601","Prunus africana"
"602","Albizia gummifera"
"603","Sapium ellipticum"
"604","Newtonia buchananii"
"605","Millettia dura"
"606","Albizia sppTEAM1"
"607","Macaranga barteri"
"608","Ficus sur"
"609","Sapium ellipticum"
"610","Macaranga barteri"
"611","unknown sppTEAM2"
"612","Macaranga barteri"
"613","unknown sppTEAM9"
"614","unknown sppTEAM9"
"615","Sapium ellipticum"
"616","Sapium ellipticum"
"617","Harungana madagascariensis"
"618","Leptonychia mildbraedii"
"619","Carapa grandiflora"
"620","Millettia dura"
"621","Psychotria mahonii"
"622","Macaranga kilimandscharica"
"623","Podocarpus milanjianus"
"624","Allophylus abyssinicus"
"625","Albizia sppTEAM1"
"626","Macaranga barteri"
"627","Millettia dura"
"628","Sapium ellipticum"
"629","Carapa grandiflora"
"630","Prunus africana"
"631","Sapium ellipticum"
"632","Prunus africana"
"633","Margaritaria discoidea"
"634","Sapium ellipticum"
"635","Allophylus abyssinicus"
"636","Xymalos monospora"
"637","Macaranga barteri"
"638","Leptonychia mildbraedii"
"639","Sapium ellipticum"
"640","Millettia dura"
"641","Albizia gummifera"
"642","Trichoscypha submontana"
"643","Macaranga kilimandscharica"
"644","Leptonychia mildbraedii"
"645","Alangium chinense"
"646","Psychotria mahonii"
"647","Millettia dura"
"648","Alangium chinense"
"649","Strombosia scheffleri"
"650","Myrianthus holstii"
"651","Croton macrostachyus"
"652","Millettia dura"
"653","Allophylus abyssinicus"
"654","Ilex mitis"
"655","Cassipourea sppTEAM1"
"656","Ilex mitis"
"657","Ilex mitis"
"658","unknown sppTEAM9"
"659","Bridelia micrantha"
"660","Leptonychia mildbraedii"
"661","Macaranga barteri"
"662","Sapium ellipticum"
"663","Macaranga barteri"
"664","Alangium chinense"
"665","Ilex mitis"
"666","Alangium chinense"
"667","Albizia gummifera"
"668","Carapa grandiflora"
"669","Millettia dura"
"670","Leptonychia mildbraedii"
"671","Ilex mitis"
"672","Ficus natelensis"
"673","Allophylus abyssinicus"
"674","Millettia dura"
"675","Carapa grandiflora"
"676","Leptonychia mildbraedii"
"677","Millettia ferruginea"
"678","Alangium chinense"
"679","Millettia dura"
"680","Prunus africana"
"681","Sapium ellipticum"
"682","Millettia dura"
"683","Sapium ellipticum"
"684","Ocotea usambarensis"
"685","Carapa grandiflora"
"686","Macaranga barteri"
"687","Albizia gummifera"
"688","Carapa grandiflora"
"689","Xymalos monospora"
"690","Syzygium guineense"
"691","Macaranga barteri"
"692","Leptonychia mildbraedii"
"693","Syzygium guineense"
"694","Psychotria mahonii"
"695","Albizia gummifera"
"696","Ilex mitis"
"697","Ilex mitis"
"698","Sapium ellipticum"
"699","Leptonychia mildbraedii"
"700","Carapa grandiflora"
"701","Xymalos monospora"
"702","Sapium ellipticum"
"703","Dichaetanthera corymbosa"
"704","unknown sppTEAM2"
"705","Macaranga barteri"
"706","Bridelia micrantha"
"707","Sapium ellipticum"
"708","Xymalos monospora"
"709","Psychotria mahonii"
"710","Macaranga barteri"
"711","Millettia dura"
"712","Sapium ellipticum"
"713","Margaritaria discoidea"
"714","Newtonia buchananii"
"715","Millettia dura"
"716","Drypetes sppTEAM3"
"717","Alangium chinense"
"718","Prunus africana"
"719","Lovoa sppTEAM1"
"720","Rytigynia ruwenzoriensis"
"721","Pauridiantha callicarpoides"
"722","Albizia gummifera"
"723","Xymalos monospora"
"724","Myrianthus holstii"
"725","Myrianthus holstii"
"726","Syzygium guineense"
"727","Leptonychia mildbraedii"
