Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
Acacia coriacea,Acacia coriacea,,1,Accepted,Acacia coriacea,DC.,Fabaceae,ildis, ,,91
Acacia craspedocarpa,Acacia craspedocarpa,,1,Accepted,Acacia craspedocarpa,F.Muell.,Fabaceae,ildis, ,,92
Acacia crassicarpa,Acacia crassicarpa,,1,Accepted,Acacia crassicarpa,Cunn. ex Benth.,Fabaceae,ildis, ,,93
Acacia crassicarpa,Acacia crassicarpa,,1,Accepted,Acacia crassicarpa,Cunn. ex Benth.,Fabaceae,ildis, ,,94
Acacia crassicarpa,Acacia crassicarpa,,1,Accepted,Acacia crassicarpa,Cunn. ex Benth.,Fabaceae,ildis, ,,95
Acacia crassicarpa,Acacia crassicarpa,,1,Accepted,Acacia crassicarpa,Cunn. ex Benth.,Fabaceae,ildis, ,,96
Acacia dealbata,Acacia dealbata,,1,Accepted,Acacia dealbata,Link,Fabaceae,ildis;tropicos;usda, ,,97
Acacia dealbata,Acacia dealbata,,1,Accepted,Acacia dealbata,Link,Fabaceae,ildis;tropicos;usda, ,,98
Acacia dealbata,Acacia dealbata,,1,Accepted,Acacia dealbata,Link,Fabaceae,ildis;tropicos;usda, ,,99
Acacia dealbata,Acacia dealbata,,1,Accepted,Acacia dealbata,Link,Fabaceae,ildis;tropicos;usda, ,,100
Acacia decurrens,Acacia decurrens,,1,Accepted,Acacia decurrens,Willd.,Fabaceae,ildis;tropicos, ,,101
Acacia decurrens,Acacia decurrens,,1,Accepted,Acacia decurrens,Willd.,Fabaceae,ildis;tropicos, ,,102
Acacia decurrens,Acacia decurrens,,1,Accepted,Acacia decurrens,Willd.,Fabaceae,ildis;tropicos, ,,103
Acacia decurrens,Acacia decurrens,,1,Accepted,Acacia decurrens,Willd.,Fabaceae,ildis;tropicos, ,,104
Acacia dictyophleba,Acacia dictyophleba,,1,Accepted,Acacia dictyophleba,F.Muell.,Fabaceae,ildis, ,,105
Acacia difficilis,Acacia difficilis,,1,Accepted,Acacia difficilis,Maiden in A.J.Ewart & O.B.Davies,Fabaceae,ildis, ,,106
Acacia difficilis,Acacia difficilis,,1,Accepted,Acacia difficilis,Maiden in A.J.Ewart & O.B.Davies,Fabaceae,ildis, ,,107
Acacia doratoxylon,Acacia doratoxylon,,1,Accepted,Acacia doratoxylon,Cunn. in B.Field,Fabaceae,ildis, ,,108
Acacia elata,Acacia elata,,1,Accepted,Acacia elata,Cunn. ex Benth.,Fabaceae,ildis, ,,109
Acacia erioloba,Acacia erioloba,,1,Synonym,Vachellia erioloba,(E. Meyer) P.J.H. Hurter,Fabaceae,ildis, ,,110
Acacia eriopoda,Acacia eriopoda,,1,Synonym,Racosperma eriopodum,(Maiden) Pedley,Fabaceae,tpl;tropicos, ,,111
Acacia excelsa,Acacia excelsa,,1,Accepted,Acacia excelsa,Benth. in T.Mitch.,Fabaceae,ildis, ,,112
Acacia excelsa,Acacia excelsa,,1,Accepted,Acacia excelsa,Benth. in T.Mitch.,Fabaceae,ildis, ,,113
Acacia fasciculifera,Acacia fasciculifera,,1,Accepted,Acacia fasciculifera,F.Muell. ex Benth.,Fabaceae,ildis, ,,114
Acacia ferruginea,Acacia ferruginea,,1,Synonym,Senegalia ferruginea,(DC.) Pedley,Fabaceae,ildis;tropicos, ,,115
Acacia furcatispina,Acacia furcatispina,,1,Synonym,Senegalia gilliesii,(Steud.) Seigler & Ebinger,Fabaceae,tropicos, ,,116
Acacia galpinii,Acacia galpinii,,1,Synonym,Senegalia galpinii,(Burtt Davy) Seigler & Ebinger,Fabaceae,ildis, ,,117
Acacia georginae,Acacia georginae,,1,No opinion,,,,tpl, ,,118
Acacia gerrardii,Acacia gerrardii,,1,No opinion,,,,tpl, ,,119
Acacia glaucocarpa,Acacia glaucocarpa,,1,Accepted,Acacia glaucocarpa,Maiden & Blakely,Fabaceae,ildis, ,,120
Acacia goetzei,Acacia goetzei,,1,Synonym,Senegalia goetzei,(Harms) Kyal. & Boatwr.,Fabaceae,ildis, ,,121
Acacia grasbyi,Acacia grasbyi,,1,Accepted,Acacia grasbyi,Maiden,Fabaceae,ildis, ,,122
Acacia grasbyi,Acacia grasbyi,,1,Accepted,Acacia grasbyi,Maiden,Fabaceae,ildis, ,,123
Acacia grasbyi,Acacia grasbyi,,1,Accepted,Acacia grasbyi,Maiden,Fabaceae,ildis, ,,124
Acacia harpophylla,Acacia harpophylla,,1,Accepted,Acacia harpophylla,F.Muell. ex Benth.,Fabaceae,ildis, ,,125
