"","ID_AE","Latitude","Longitude","Family","Genus","Species","Ecoregion_WWF","Veg_Component"
"6520",39925,31.7278,-88.0774,"Altingiaceae","Liquidambar","styraciflua","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6521",39925,30.684,-86.2574,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6522",39925,35.6956,-76.5957,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6523",39925,33.8957,-79.0847,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6524",39925,31.1925,-87.8633,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6525",39925,29.3726,-82.564,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6526",39925,33.4942,-79.4862,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6527",39925,36.7929,-76.8365,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6528",39925,29.8276,-82.9387,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6529",39925,29.3726,-81.6808,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6530",39925,29.9882,-81.7343,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6531",39925,30.3896,-81.7343,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6532",39925,31.0587,-82.1358,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6533",39925,32.2096,-81.3061,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6534",39925,31.7546,-90.7806,"Altingiaceae","Liquidambar","styraciflua","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6535",39925,32.7716,-80.6905,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6536",39925,32.9054,-80.1285,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6537",39925,33.2266,-81.092,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6538",39925,31.1658,-88.7465,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6539",39925,31.1658,-81.7343,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6540",39926,35.212,-83.4217,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6541",39926,35.8022,-82.3452,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6542",39926,34.766,-84.1435,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6543",39927,39.6736,-79.7932,"Fagaceae","Quercus","rubra","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6566",39929,30.0684,-83.3669,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6567",39929,34.1901,-78.2818,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6568",39929,34.8324,-77.345,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6569",39929,35.2406,-77.1309,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6570",39929,36.1506,-76.9703,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6571",39929,30.684,-88.7733,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6572",39929,32.3166,-88.0774,"Altingiaceae","Liquidambar","styraciflua","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6573",39929,31.8884,-87.3012,"Altingiaceae","Liquidambar","styraciflua","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6574",39929,31.7278,-88.0774,"Altingiaceae","Liquidambar","styraciflua","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6575",39929,30.684,-86.2574,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6576",39929,35.6956,-76.5957,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6577",39929,33.8957,-79.0847,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6578",39929,31.1925,-87.8633,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6579",39929,29.3726,-82.564,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6580",39929,33.4942,-79.4862,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6581",39929,36.7929,-76.8365,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6582",39929,29.8276,-82.9387,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6583",39929,29.3726,-81.6808,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6584",39929,29.9882,-81.7343,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6585",39929,30.3896,-81.7343,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6586",39929,31.0587,-82.1358,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6587",39929,32.2096,-81.3061,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6588",39929,31.7546,-90.7806,"Altingiaceae","Liquidambar","styraciflua","Temperate broadleaf and mixed forests","Stem + branches (live)"
"6589",39929,32.7716,-80.6905,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6590",39929,32.9054,-80.1285,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6591",39929,33.2266,-81.092,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6592",39929,31.1658,-88.7465,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6593",39929,31.1658,-81.7343,"Altingiaceae","Liquidambar","styraciflua","Temperate coniferous forests","Stem + branches (live)"
"6660",39943,47.4356,-65.5454,"Pinaceae","Picea","rubens","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6669",39949,4.570868,-74.297333,"Unknown","unknown","unknown","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"6670",39949,7.115675,-75.11279722,"Unknown","unknown","unknown","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"6672",39951,45.375,127.534,"Juglandaceae","Juglans","Mandshurica Maxim.","Temperate broadleaf and mixed forests","above ground biomass"
"6674",39953,45.375,127.534,"Pinaceae","Pinus","Koraiensis Sieb. et Zucc.","Temperate broadleaf and mixed forests","above ground biomass"
"6676",39955,33.2404,-83.5433,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6677",39955,33.3415,-83.0448,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6678",39955,33.4156,-83.6376,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6679",39955,33.6177,-83.3412,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6680",39955,33.6244,-83.6713,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6681",39955,33.5331,-84.4072,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6682",39955,36.0875,-79.178,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6683",39955,36.2155,-78.9153,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6684",39955,36.5119,-78.6054,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6685",39955,33.7952,-84.4316,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6686",39955,33.3415,-83.3278,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6687",39955,32.8901,-83.0314,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6688",39955,34.0847,-85.3184,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6689",39955,36.815,-78.9759,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6690",39955,32.9709,-82.6339,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6691",39955,34.6416,-81.7177,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6692",39955,34.3924,-81.2562,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6693",39955,34.8606,-81.364,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6694",39955,35.1806,-81.4988,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6695",39955,35.0425,-80.3973,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6696",39955,37.3068,-79.1376,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6697",39955,33.5031,-82.836,"Fagaceae","Quercus","falcata var. falcata","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6701",39959,19.8333,-155.15,"Myrtaceae","Eucalyptus","globulus","Tropical and subtropical moist broadleaf forests","Whole tree (aboveground)"
"6706",39964,21.958333,104.330556,"Dipterocarpaceae","Dipterocarpus","intricatus","Tropical and subtropical moist broadleaf forests","total aboveground biomass"
"6716",39974,-12.75333,-56.916666,"Fabaceae","Hymenolobium","nitidum","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches+stump"
"6717",39974,-6.166666,-52.716666,"Fabaceae","Hymenolobium","nitidum","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches+stump"
"6720",39977,-37.8381,147.7582,"Myrtaceae","Eucalyptus","incrassata","Temperate broadleaf and mixed forests","Above-ground biomass"
"6721",39977,-35.0485,149.2325,"Myrtaceae","Eucalyptus","incrassata","Temperate broadleaf and mixed forests","Above-ground biomass"
"6722",39977,-34.2809,118.182,"Myrtaceae","Eucalyptus","incrassata","Mediterranean scrub","Above-ground biomass"
"6723",39977,-36.3958,144.4304,"Myrtaceae","Eucalyptus","incrassata","Temperate grasslands, savannas, and shrublands","Above-ground biomass"
"6724",39977,-36.2447,141.8148,"Myrtaceae","Eucalyptus","incrassata","Temperate grasslands, savannas, and shrublands","Above-ground biomass"
"6725",39977,-35.33545,139.6334,"Myrtaceae","Eucalyptus","incrassata","Temperate grasslands, savannas, and shrublands","Above-ground biomass"
"6726",39977,-33.73,117.325,"Myrtaceae","Eucalyptus","incrassata","Mediterranean scrub","Above-ground biomass"
"6728",39979,45.6597,-88.8793,"Aceraceae","Acer","rubrum","Temperate broadleaf and mixed forests","Whole tree (aboveground)"
"6729",39979,45.9005,-89.2678,"Aceraceae","Acer","rubrum","Temperate broadleaf and mixed forests","Whole tree (aboveground)"
"6730",39979,46.264,-86.8175,"Aceraceae","Acer","rubrum","Temperate broadleaf and mixed forests","Whole tree (aboveground)"
"6731",39979,46.4511,-86.9701,"Aceraceae","Acer","rubrum","Temperate broadleaf and mixed forests","Whole tree (aboveground)"
"6732",39979,44.2903,-85.5045,"Aceraceae","Acer","rubrum","Temperate broadleaf and mixed forests","Whole tree (aboveground)"
"6733",39979,46.3797,-86.6203,"Aceraceae","Acer","rubrum","Temperate broadleaf and mixed forests","Whole tree (aboveground)"
"6737",39983,6.088611,-73.132361,"Fagaceae","Quercus","humboldtii","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"6747",39989,1.05,116.3166667,"Dipterocarpaceae","Shorea","leprosula","Tropical and subtropical moist broadleaf forests","Aboveground biomass"
"6749",39991,2.166666667,117.3333333,"Dipterocarpaceae","Dipterocarpus","unknown","Tropical and subtropical moist broadleaf forests","Total aboveground biomass"
"6750",39991,2.35,118,"Dipterocarpaceae","Dipterocarpus","unknown","Mangroves","Total aboveground biomass"
"6835",40045,33.2404,-83.5433,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6836",40045,33.3415,-83.0448,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6837",40045,33.4156,-83.6376,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6838",40045,33.6177,-83.3412,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6839",40045,33.6244,-83.6713,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6840",40045,33.5331,-84.4072,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6841",40045,36.0875,-79.178,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6842",40045,36.2155,-78.9153,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6843",40045,36.5119,-78.6054,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6844",40045,33.7952,-84.4316,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6845",40045,33.3415,-83.3278,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6846",40045,32.8901,-83.0314,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6847",40045,34.0847,-85.3184,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6848",40045,36.815,-78.9759,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6849",40045,32.9709,-82.6339,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6850",40045,34.6416,-81.7177,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6851",40045,34.3924,-81.2562,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6852",40045,34.8606,-81.364,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6853",40045,35.1806,-81.4988,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6854",40045,35.0425,-80.3973,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6855",40045,37.3068,-79.1376,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6856",40045,33.5031,-82.836,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6978",40112,9.989424,-83.037394,"Arecaceae","Bactris","gasipaes","Tropical and subtropical moist broadleaf forests","Steam+leaves+thin branches"
"6985",40119,46,-77.4333,"Salicaceae","Populus","tremuloides","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"6989",40123,3.933888889,-53.12578333,"Unknown","Unknown","unknown","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"6990",40123,3.933888889,-53.12578333,"Unknown","Unknown","unknown","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"6991",40123,3.933888889,-53.12578333,"Unknown","Unknown","unknown","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"7022",40138,-12.4,132.5,"Myrtaceae","Eucalyptus","miniata","Tropical and subtropical grasslands, savannas, and shrublands","Total Above-ground"
"7023",40139,17.383333,-89.666667,"Combretaceae","Terminalia","amazonia","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"7024",40139,17.51694445,-89.1725,"Combretaceae","Terminalia","amazonia","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"7028",40143,-3.34,103.94,"Unknown","All","All","Tropical and subtropical moist broadleaf forests","Aboveground biomass"
"7037",40147,22.001,-159.4302,"Myrtaceae","Eucalyptus","robusta","Tropical and subtropical moist broadleaf forests","Whole tree (aboveground)"
"7038",40147,19.4412,-155.0916,"Myrtaceae","Eucalyptus","robusta","Tropical and subtropical moist broadleaf forests","Whole tree (aboveground)"
"7088",40158,35.212,-83.4217,"Oleaceae","Fraxinus","americana","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7089",40158,35.8022,-82.3452,"Oleaceae","Fraxinus","americana","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7090",40158,34.766,-84.1435,"Oleaceae","Fraxinus","americana","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7155",40202,33.8055,-88.9553,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7156",40202,35.8935,-85.335,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7157",40202,35.1945,-84.7525,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7158",40202,35.1855,-86.3655,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7159",40202,35.1766,-87.4498,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7160",40202,34.6837,-87.5036,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7161",40202,35.1407,-89.2152,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7162",40202,36.8882,-84.5375,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7163",40202,36.8523,-87.8172,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7164",40202,37.2108,-88.2295,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7165",40202,36.7806,-88.2832,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7166",40202,36.7448,-88.803,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7167",40202,33.698,-91.6436,"Fagaceae","Quercus","alba","Temperate coniferous forests","Stem + branches (live)"
"7168",40202,35.9114,-84.2238,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7169",40202,36.8165,-83.6593,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7170",40203,30.0684,-83.3669,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7171",40203,34.1901,-78.2818,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7172",40203,34.8324,-77.345,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7173",40203,35.2406,-77.1309,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7174",40203,36.1506,-76.9703,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7175",40203,30.684,-88.7733,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7176",40203,32.3166,-88.0774,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7177",40203,31.8884,-87.3012,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7178",40203,31.7278,-88.0774,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7179",40203,30.684,-86.2574,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7180",40203,35.6956,-76.5957,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7181",40203,33.8957,-79.0847,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7182",40203,31.1925,-87.8633,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7183",40203,29.3726,-82.564,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7184",40203,33.4942,-79.4862,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7185",40203,36.7929,-76.8365,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7186",40203,29.8276,-82.9387,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7187",40203,29.3726,-81.6808,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7188",40203,29.9882,-81.7343,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7189",40203,30.3896,-81.7343,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7190",40203,31.0587,-82.1358,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7191",40203,32.2096,-81.3061,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7192",40203,31.7546,-90.7806,"Magnoliaceae","Liriodendron","tulipifera","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7193",40203,32.7716,-80.6905,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7194",40203,32.9054,-80.1285,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7195",40203,33.2266,-81.092,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7196",40203,31.1658,-88.7465,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7197",40203,31.1658,-81.7343,"Magnoliaceae","Liriodendron","tulipifera","Temperate coniferous forests","Whole tree (above stump)"
"7279",40208,38.597626,-80.454903,"Oleaceae","Fraxinus","americana","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7286",40211,41.312521,-101.879768,"Ericaceae","Oxydendrum","arboreum","Temperate grasslands, savannas, and shrublands","Whole tree (aboveground)"
"7288",40213,41.312521,-101.879768,"Fagaceae","Quercus","rubra","Temperate grasslands, savannas, and shrublands","Whole tree (above stump)"
"7291",40216,32.4108,-110.7522,"Pinaceae","Pinus","cembroides","Temperate coniferous forests","Whole tree (aboveground)"
"7303",40226,41.312521,-101.879768,"Fabaceae","Olneya","tesota","Temperate grasslands, savannas, and shrublands","Whole tree (above stump)"
"7320",40243,12.833333,-85.45,"Lamiaceae","Tectona","grandis","Tropical and subtropical moist broadleaf forests","Stem+bark+branches"
"7321",40243,4.433333,-75.633333,"Lamiaceae","Tectona","grandis","Montane grasslands","Stem+bark+branches"
"7322",40243,4.433333,-75.633333,"Lamiaceae","Tectona","grandis","Montane grasslands","Stem+bark+branches"
"7323",40243,10.15,-84.7,"Lamiaceae","Tectona","grandis","Tropical and subtropical moist broadleaf forests","Stem+bark+branches"
"7325",40245,41.4941,-71.5828,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7329",40249,52.25,17.0667,"Pinaceae","Pinus","sylvestris","Temperate broadleaf and mixed forests","Complete tree (aboveground - excluded fruits)"
"7333",40253,24.81151,92.89148,"Poaceae","Bambusa","balcooa","Tropical and subtropical moist broadleaf forests","Bark,Branches,Leaves,Stump and Trunk"
"7337",40256,-35.778483,149.578425,"Myrtaceae","Eucalyptus","fastigata","Temperate broadleaf and mixed forests","Total above ground"
"7338",40256,-36.622263,149.414533,"Myrtaceae","Eucalyptus","fastigata","Temperate broadleaf and mixed forests","Total above ground"
"7364",40263,-30.3,153,"Myrtaceae","Eucalyptus","pilularis","Temperate broadleaf and mixed forests","Total above ground"
"7370",40269,10.455556,-84.005556,"Myristicaceae","Virola","koschnyi","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"7371",40270,35.068,-83.4171,"Fagaceae","Quercus","prinus","Temperate broadleaf and mixed forests","Stem + branches (live)"
"7377",40273,47.4356,-65.5454,"Aceraceae","Acer","rubrum","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7408",40285,-37.8381,147.7582,"Myrtaceae","Eucalyptus","astringens","Temperate broadleaf and mixed forests","Above-ground biomass"
"7409",40285,-35.0485,149.2325,"Myrtaceae","Eucalyptus","astringens","Temperate broadleaf and mixed forests","Above-ground biomass"
"7410",40285,-34.2809,118.182,"Myrtaceae","Eucalyptus","astringens","Mediterranean scrub","Above-ground biomass"
"7411",40285,-36.3958,144.4304,"Myrtaceae","Eucalyptus","astringens","Temperate grasslands, savannas, and shrublands","Above-ground biomass"
"7412",40285,-36.2447,141.8148,"Myrtaceae","Eucalyptus","astringens","Temperate grasslands, savannas, and shrublands","Above-ground biomass"
"7413",40285,-35.33545,139.6334,"Myrtaceae","Eucalyptus","astringens","Temperate grasslands, savannas, and shrublands","Above-ground biomass"
"7414",40285,-33.73,117.325,"Myrtaceae","Eucalyptus","astringens","Mediterranean scrub","Above-ground biomass"
"7418",40289,0.29,101.71,"Rhizophoraceae","Rhizophora","mucronata","Tropical and subtropical moist broadleaf forests","Total tree biomass"
"7456",40299,33.8055,-88.9553,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7457",40299,35.8935,-85.335,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7458",40299,35.1945,-84.7525,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7459",40299,35.1855,-86.3655,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7460",40299,35.1766,-87.4498,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7461",40299,34.6837,-87.5036,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7462",40299,35.1407,-89.2152,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7463",40299,36.8882,-84.5375,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7464",40299,36.8523,-87.8172,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"7465",40299,37.2108,-88.2295,"Fagaceae","Quercus","alba","Temperate broadleaf and mixed forests","Whole tree (above stump)"
