,ID_AE,Latitude,Longitude,Family,Genus,Species,Substitute_equation,Unit_X,Min_X,Max_X,Output_TR,Unit_Y,Ecoregion_WWF,Veg_Component
2462,44194,33.6244,-83.6713,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2463,44194,33.5331,-84.4072,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2464,44194,36.0875,-79.178,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2465,44194,36.2155,-78.9153,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2466,44194,36.5119,-78.6054,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2467,44194,33.7952,-84.4316,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2468,44194,33.3415,-83.3278,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2469,44194,32.8901,-83.0314,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2470,44194,34.0847,-85.3184,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2471,44194,36.815,-78.9759,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
