Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
Ocotea kostermansiana,Ocotea kostermansiana,,1,No opinion,,,,tpl;tropicos, ,,14377
Ocotea laetevirens,Ocotea laetevirens,,1,Accepted,Ocotea laetevirens,Standl. & Steyerm.,Lauraceae,tpl;tropicos, ,,14378
Ocotea lanata,Ocotea lanata,,1,Accepted,Ocotea lanata,(Nees & Mart.) Mez,Lauraceae,tpl;tropicos, ,,14379
Ocotea lancifolia,Ocotea lancifolia,,1,Accepted,Ocotea lancifolia,(Schott) Mez,Lauraceae,tpl;tropicos, ,,14380
Ocotea laxa,Ocotea laxa,,1,Accepted,Ocotea laxa,(Nees) Mez,Lauraceae,tpl;tropicos, ,,14381
Ocotea leucoxylon,Ocotea leucoxylon,,1,Accepted,Ocotea leucoxylon,(Sw.) Laness.,Lauraceae,tpl;tropicos, ,,14382
Ocotea lobbii,Ocotea lobbii,,1,Accepted,Ocotea lobbii,(Meisn.) Rohwer,Lauraceae,tpl;tropicos, ,,14383
Ocotea longifolia,Ocotea longifolia,,1,Accepted,Ocotea longifolia,Kunth,Lauraceae,tpl;tropicos, ,,14384
Ocotea longipes,Ocotea longipes,,1,Synonym,Ocotea thouvenotii,(Danguy) Kosterm.,Lauraceae,tpl;tropicos, ,,14385
Ocotea lundellii,Ocotea lundellii,,1,Synonym,Nectandra coriacea,(Sw.) Griseb.,Lauraceae,tpl;tropicos, ,,14386
Ocotea macrocalyx,Ocotea macrocalyx,,1,Synonym,Rhodostemonodaphne macrocalyx,(Meisn.) Rohwer ex Madri_¨¢n,Lauraceae,tpl;tropicos, ,,14387
Ocotea macropoda,Ocotea macropoda,,1,Accepted,Ocotea macropoda,(Kunth) Mez,Lauraceae,tpl;tropicos, ,,14388
Ocotea mandioccana,Ocotea mandioccana,,1,Illegitimate,,,,tropicos, ,,14389
Ocotea marcescens,Ocotea marcescens,,1,Accepted,Ocotea marcescens,L.C.S. Assis & Mello-Silva,Lauraceae,tpl;tropicos, ,,14390
Ocotea martiana,Ocotea martiana,,1,Synonym,Ocotea lancifolia,(Schott) Mez,Lauraceae,tpl, ,,14391
Ocotea marumbiensis,Ocotea marumbiensis,,1,No opinion,,,,tropicos, ,,14392
Ocotea matogrossensis,Ocotea matogrossensis,,1,Accepted,Ocotea matogrossensis,Vatt.,Lauraceae,tpl, ,,14393
Ocotea meziana,Ocotea meziana,,1,Accepted,Ocotea meziana,C.K.Allen,Lauraceae,tpl, ,,14394
Ocotea minor,Ocotea minor,,1,Accepted,Ocotea minor,Vicent.,Lauraceae,tpl;tropicos, ,,14395
Ocotea minutiflora,Ocotea minutiflora,,1,Accepted,Ocotea minutiflora,O.C. Schmidt,Lauraceae,tpl;tropicos, ,,14396
Ocotea mollifolia,Ocotea mollifolia,,1,Accepted,Ocotea mollifolia,Mez & Pittier,Lauraceae,tpl;tropicos, ,,14397
Ocotea moschata,Ocotea moschata,,1,Accepted,Ocotea moschata,(Meisn.) Mez,Lauraceae,tpl;tropicos, ,,14398
Ocotea multinervis,Ocotea multinervis,,1,Accepted,Ocotea multinervis,van der Werff,Lauraceae,tpl;tropicos, ,,14399
Ocotea myriantha,Ocotea myriantha,,1,Accepted,Ocotea myriantha,(Meisn.) Mez,Lauraceae,tpl;tropicos, ,,14400
Ocotea nectandra,Ocotea,,0.5,Accepted,Ocotea,,Lauraceae,tpl;usda, [Partial match] ,,14401
Ocotea nectandrifolia,Ocotea nectandrifolia,,1,Accepted,Ocotea nectandrifolia,Mez,Lauraceae,tpl;tropicos, ,,14402
Ocotea nicaraguensis,Ocotea nicaraguensis,,1,Synonym,Ocotea atirrensis,Mez & Donn.Sm.,Lauraceae,tpl, ,,14403
Ocotea nigra,Ocotea nigra,,1,Accepted,Ocotea nigra,Benoist,Lauraceae,tpl;tropicos, ,,14404
Ocotea nigrescens,Ocotea nigrescens,,1,Accepted,Ocotea nigrescens,Vicent.,Lauraceae,tpl;tropicos, ,,14405
Ocotea nitida,Ocotea nitida,,1,Accepted,Ocotea nitida,(Meisn.) Rohwer,Lauraceae,tpl;tropicos, ,,14406
Ocotea nutans,Ocotea nutans,,1,Accepted,Ocotea nutans,(Nees) Mez,Lauraceae,tpl;tropicos, ,,14407
Ocotea oblonga,Ocotea oblonga,,1,Accepted,Ocotea oblonga,(Meisn.) Mez,Lauraceae,tpl;tropicos, ,,14408
Ocotea oblongifolia,Ocotea oblongifolia,,1,Accepted,Ocotea oblongifolia,van der Werff,Lauraceae,tpl;tropicos, ,,14409
Ocotea obovata,Ocotea obovata,,1,Accepted,Ocotea obovata,(Ruiz & Pav.) Mez,Lauraceae,tpl;tropicos, ,,14410
Ocotea odorifera,Ocotea odorifera,,1,Accepted,Ocotea odorifera,(Vell.) Rohwer,Lauraceae,tpl, ,,14411
Ocotea olivacea,Ocotea olivacea,,1,Accepted,Ocotea olivacea,A.C.Sm.,Lauraceae,tpl, ,,14412
Ocotea ovalifolia,Ocotea ovalifolia,,1,Accepted,Ocotea ovalifolia,(Ruiz & Pav.) Mez,Lauraceae,tpl;tropicos, ,,14413
Ocotea pedunculata,Ocotea pedunculata,,1,Synonym,Ocotea humblotii,Baill.,Lauraceae,tpl;tropicos, ,,14414
Ocotea pentagona,Ocotea pentagona,,1,Accepted,Ocotea pentagona,Mez,Lauraceae,tpl, ,,14415
Ocotea percurrens,Ocotea percurrens,,1,Accepted,Ocotea percurrens,Vicent.,Lauraceae,tpl;tropicos, ,,14416
Ocotea pichurim,Ocotea pichurim,,1,Synonym,Nectandra pichurim,(Kunth) Mez,Lauraceae,tpl, ,,14417
Ocotea pluridomatiata,Ocotea pluridomatiata,,1,Accepted,Ocotea pluridomatiata,A. Quinet,Lauraceae,tpl;tropicos, ,,14418
Ocotea porosa,Ocotea porosa,,1,Accepted,Ocotea porosa,(Nees & Mart.) Barroso,Lauraceae,tpl;tropicos, ,,14419
Ocotea praetermissa,Ocotea praetermissa,,1,Accepted,Ocotea praetermissa,van der Werff,Lauraceae,tpl;tropicos, ,,14420
Ocotea prolifera,Ocotea prolifera,,1,Synonym,Ocotea indecora,(Schott) Mez,Lauraceae,tpl, ,,14421
Ocotea pseudopalmana,Ocotea pseudopalmana,,1,Accepted,Ocotea pseudopalmana,W.C.Burger,Lauraceae,tpl, ,,14422
Ocotea puberula,Ocotea puberula,,1,Accepted,Ocotea puberula,(Rich.) Nees,Lauraceae,tpl;tropicos, ,,14423
Ocotea pulchella,Ocotea pulchella,,1,Accepted,Ocotea pulchella,(Nees & Mart.) Mez,Lauraceae,tpl;tropicos, ,,14424
Ocotea pulchra,Ocotea pulchra,,1,Synonym,Ocotea lancifolia,(Schott) Mez,Lauraceae,tpl, ,,14425
Ocotea pyramidata,Ocotea pyramidata,,1,Synonym,Ocotea puberula,(Rich.) Nees,Lauraceae,tpl;tropicos, ,,14426
