"","ID_AE","U","Unit_U","V","Unit_V","W","Unit_W","X","Unit_X","Z","Unit_Z","Min_X","Max_X","Min_Z","Max_Z","Output","Output_TR","Unit_Y","Age","Veg_Component","Equation","Substitute_equation","Top_dob","Stump_height","R2","R2_Adjusted","RMSE","SEE","Corrected_for_bias","Bias_correction","Ratio_equation","Segmented_equation","Sample_size","Population","B","Bd","Bg","Bt","L","Rb","Rf","Rm","S","T","F","Vegetation_type","Tree_type","Location","Region","Country","Country_3166_3","Continent","Zone_FAO","Zone_Holdridge","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Latitude","Longitude","Family","Genus","Species","Subspecies","Species_author","Species_local_name","Species_local_name_iso","Species_local_name_latin","Reference_author","Reference_year","Reference","Operator","Contributor","Remark","Contact"
"2059",58881,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,5,70,NA,NA,"Biomass",NA,"kg",NA,"Aboveground biomass","0.2902*(X)^2.3131","0.2902*(DBH)^2.3131",NA,NA,NA,NA,0.0316,NA,NA,NA,NA,NA,"40","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Hutan Labanan Sanggam Lestari, East Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,1.958346,117.124974,"Burseraceae","Dacryodes","spp.",NA,NA,NA,NA,NA,NA,NA,"Samalca, I. 2007. Estimation of forest biomass and its error: A case in Kalimantan, Indonesia. MSc thesis. International Institute for Geo-information Science and Earth Observation, Enschede.",NA,"UNREDD",NA,NA
"2060",58910,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,20,NA,NA,NA,"Biomass",NA,"kg",NA,"Tree air dry biomass","0.127*(X)^2.58","0.127*(DBH)^2.58",NA,NA,0.996,NA,NA,NA,NA,NA,NA,NA,"5","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"Tree","Location B: Mandomai, Central Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,-2.824967,114.296425,"Myrtaceae","Melaleuca","cajuputi",NA,NA,NA,NA,NA,NA,NA,"Alpian, A., Prayitno, T., Sutapa, J. & Budiadi, B. 2013. Biomass Distribution of Cajuput Stand in Central Kalimantan Swamp Forest. Jurnal Manajemen Hutan Tropika. 19(1): 1-10.",NA,"UNREDD",NA,NA
"2061",58912,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,9.6,52.5,10.3,34.3,"Biomass",NA,"kg",NA,"Aboveground biomass","exp(-2.511+(2.660*log(X)))","exp(-2.511+(2.660*log(DBH)))",NA,NA,0.971,0.969,NA,NA,NA,NA,NA,NA,"6","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Riau Province, Indonesia",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,2.058347,101.008302,"Anacardiaceae","Campnosperma","coriaceum",NA,NA,NA,NA,NA,NA,NA,"Nugroho, N. 2014. Developing Site-specific Allometric Equations for Above-ground Biomass Estimation in Peat Swamp Forests of Rokan Hilir District, Riau Province, Indonesia. Indonesian Journal of Forestry Research. 1(1): 47-65.",NA,"UNREDD",NA,NA
"2062",58913,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,20,NA,NA,NA,"Biomass",NA,"kg",NA,"Tree oven dry biomass","0.114*(X)^2.56","0.114*(DBH)^2.56",NA,NA,0.996,NA,NA,NA,NA,NA,NA,NA,"5","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"Tree","Location B: Mandomai, Central Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,-2.824967,114.296425,"Myrtaceae","Melaleuca","cajuputi",NA,NA,NA,NA,NA,NA,NA,"Alpian, A., Prayitno, T., Sutapa, J. & Budiadi, B. 2013. Biomass Distribution of Cajuput Stand in Central Kalimantan Swamp Forest. Jurnal Manajemen Hutan Tropika. 19(1): 1-10.",NA,"UNREDD",NA,NA
"2063",58918,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,1.3,14.2,NA,NA,"Biomass",NA,"kg",NA,"Aboveground biomass","0.262+(1.934*X)","0.262+(1.934*DBH)",NA,NA,NA,0.992,NA,NA,NA,NA,NA,NA,"60","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,"Liana","Penang National Park",NA,"Malaysia","MYS","Asia",NA,NA,NA,NA,NA,5.45,100.2,"Apocynaceae","Willughbeia","spp.",NA,NA,NA,NA,NA,NA,NA,"Addo-Fordjour, P. & Rahmad, Z. 2013. Development of allometric equations for estimating above-ground liana biomass in tropical primary and secondary forests, Malaysia. International Journal of Ecology. 2013.",NA,"UNREDD",NA,NA
"2064",58927,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,5,70,NA,NA,"Biomass","log","kg",NA,"Aboveground biomass","(log(-1.2495))+(2.3109*log(X))","(log(-1.2495))+(2.3109*log(DBH))",NA,NA,NA,NA,0.1479,NA,NA,NA,NA,NA,"40","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Hutan Labanan Sanggam Lestari, East Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,1.958346,117.124974,"Dipterocarpaceae","Vatica","spp.",NA,NA,NA,NA,NA,NA,NA,"Samalca, I. 2007. Estimation of forest biomass and its error: A case in Kalimantan, Indonesia. MSc thesis. International Institute for Geo-information Science and Earth Observation, Enschede.",NA,"UNREDD",NA,NA
"2065",58930,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass",NA,"kg","61-80","Total biomass","0.785*(X^1.932)","0.785*(DBH^1.932)",NA,NA,0.949,NA,NA,NA,NA,NA,NA,NA,"5","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,"Tree","Liaoheyuan",NA,"China","CHN","Asia",NA,NA,NA,NA,NA,41.183401,118.491349,"Pinaceae","Pinus","tabuliformis",NA,NA,NA,NA,NA,NA,NA,"Zhao, J., Kang, F., Wang, L., Yu, X., Zhao, W., Song, X., Zhang, Y., Chen, F., Sun, Y., He, T. & Han, H. 2014. Patterns of biomass and carbon distribution across a chronosequence of Chinese pine (Pinus tabulaeformis) forests. PLoS One. 9(4), p.e94966.",NA,"UNREDD",NA,NA
"2066",58936,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,1.3,14.2,NA,NA,"Biomass","^0.90","kg",NA,"Aboveground biomass","1.041+(1.354*X)","1.041+(1.354*DBH)",NA,NA,NA,0.993,NA,NA,NA,NA,NA,NA,"60","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,"Liana","Penang National Park",NA,"Malaysia","MYS","Asia",NA,NA,NA,NA,NA,5.45,100.2,"Apocynaceae","Willughbeia","spp.",NA,NA,NA,NA,NA,NA,NA,"Addo-Fordjour, P. & Rahmad, Z. 2013. Development of allometric equations for estimating above-ground liana biomass in tropical primary and secondary forests, Malaysia. International Journal of Ecology. 2013.",NA,"UNREDD",NA,NA
"2067",58940,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,20,NA,NA,NA,"Biomass",NA,"kg",NA,"Tree air dry biomass","0.143*(X)^2.42","0.143*(DBH)^2.42",NA,NA,0.994,NA,NA,NA,NA,NA,NA,NA,"5","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"Tree","Location A: Mandomai, Central Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,-2.840625,114.341058,"Myrtaceae","Melaleuca","cajuputi",NA,NA,NA,NA,NA,NA,NA,"Alpian, A., Prayitno, T., Sutapa, J. & Budiadi, B. 2013. Biomass Distribution of Cajuput Stand in Central Kalimantan Swamp Forest. Jurnal Manajemen Hutan Tropika. 19(1): 1-10.",NA,"UNREDD",NA,NA
"2068",58945,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,5,70,NA,NA,"Biomass",NA,"kg",NA,"Aboveground biomass","0.2902*(X)^2.3131","0.2902*(DBH)^2.3131",NA,NA,NA,NA,0.0316,NA,NA,NA,NA,NA,"40","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Hutan Labanan Sanggam Lestari, East Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,1.958346,117.124974,"Celastraceae","Lophopetalum","spp.",NA,NA,NA,NA,NA,NA,NA,"Samalca, I. 2007. Estimation of forest biomass and its error: A case in Kalimantan, Indonesia. MSc thesis. International Institute for Geo-information Science and Earth Observation, Enschede.",NA,"UNREDD",NA,NA
"2069",58952,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass","log10","g",NA,"Total Aboveground Biomass","1.7192+(2.7465*log10(X))","1.7192+(2.7465*log10(DBH))",NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,"20","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,"Tree","Chatthin Wildlife Sanctuary",NA,"Myanmar","MMR","Asia",NA,NA,NA,NA,NA,23.596832,95.51866,"Dipterocarpaceae","Shorea","obtusa",NA,NA,NA,NA,NA,NA,NA,"Zaw, Z., Lee, Y., Jung, J. & Than, K. 2013. Estimation of Carbon Storage of Two Dominant Species in Deciduous Dipterocarp Forest in Chatthin Wildlife Sanctuary, Myanmar. Internarional Journal of Sciences., 5(03).",NA,"UNREDD",NA,NA
"2070",59027,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass","log","kg",NA,"Total biomass","#NAME?","#NAME?",NA,NA,NA,0.9,NA,NA,NA,1.06,NA,NA,"15","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Shrub","Dida-Hara",NA,"Ethiopia","ETH","Africa",NA,NA,NA,NA,NA,4.87166667,38.33805556,"Fabaceae","Acacia","tortilis",NA,NA,NA,NA,NA,NA,NA,"Feyisa, K., Beyene, S., Megersa, B., Said, M. & Angassa, A. 2016. Allometric equations for predicting above-ground biomass of selected woody species to estimate carbon in East African rangelands. Agroforestry Systems. pp.1-23.",NA,"UNREDD",NA,NA
"2071",59066,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,5,70,NA,NA,"Biomass",NA,"kg",NA,"Aboveground biomass","0.2902*(X)^2.3131","0.2902*(DBH)^2.3131",NA,NA,NA,NA,0.0316,NA,NA,NA,NA,NA,"40","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Hutan Labanan Sanggam Lestari, East Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,1.958346,117.124974,"Annonaceae","Mezzettia","spp.",NA,NA,NA,NA,NA,NA,NA,"Samalca, I. 2007. Estimation of forest biomass and its error: A case in Kalimantan, Indonesia. MSc thesis. International Institute for Geo-information Science and Earth Observation, Enschede.",NA,"UNREDD",NA,NA
"2072",59120,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,8.5,50.7,6.4,33.3,"Biomass",NA,"kg",NA,"Aboveground biomass","exp(-2.511+(2.660*log(X)))","exp(-2.511+(2.660*log(DBH)))",NA,NA,0.971,0.969,NA,NA,NA,NA,NA,NA,"6","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Riau Province, Indonesia",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,2.058347,101.008302,"Dipterocarpaceae","Shorea","uliginosa",NA,NA,NA,NA,NA,NA,NA,"Nugroho, N. 2014. Developing Site-specific Allometric Equations for Above-ground Biomass Estimation in Peat Swamp Forests of Rokan Hilir District, Riau Province, Indonesia. Indonesian Journal of Forestry Research. 1(1): 47-65.",NA,"UNREDD",NA,NA
"2073",59126,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass","log","kg",NA,"Total biomass","#NAME?","#NAME?",NA,NA,NA,0.94,NA,NA,NA,1.03,NA,NA,"15","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Shrub","Dida-Hara",NA,"Ethiopia","ETH","Africa",NA,NA,NA,NA,NA,4.87166667,38.33805556,"Fabaceae","Acacia","nilotica",NA,NA,NA,NA,NA,NA,NA,"Feyisa, K., Beyene, S., Megersa, B., Said, M. & Angassa, A. 2016. Allometric equations for predicting above-ground biomass of selected woody species to estimate carbon in East African rangelands. Agroforestry Systems. pp.1-23.",NA,"UNREDD",NA,NA
"2074",59129,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,5,70,NA,NA,"Biomass","sqrt","kg",NA,"Aboveground biomass","#NAME?","#NAME?",NA,NA,NA,NA,0.0521,NA,NA,NA,NA,NA,"40","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Hutan Labanan Sanggam Lestari, East Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,1.958346,117.124974,"Calophyllaceae","Calophyllum","spp.",NA,NA,NA,NA,NA,NA,NA,"Samalca, I. 2007. Estimation of forest biomass and its error: A case in Kalimantan, Indonesia. MSc thesis. International Institute for Geo-information Science and Earth Observation, Enschede.",NA,"UNREDD",NA,NA
"2075",59131,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass",NA,"kg",NA,"Total aboveground biomass","1.49*((10^-1)*(X^2.09))","1.49*((10^-1)*(DBH^2.09))",NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,"77","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Bukit Soeharto Education Forest, East Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,-0.8667,117.01667,"Euphorbiaceae","Homalanthus","populneus",NA,NA,NA,NA,NA,NA,NA,"Hiratsuka, M., Toma, T., Diana, R., Hadriyanto, D. & Morikawa, Y. 2006. Biomass recovery of naturally regenerated vegetation after the 1998 forest fire in East Kalimantan, Indonesia. Japan Agricultural Research Quarterly: JARQ. 40(3): 277-282.",NA,"UNREDD",NA,NA
"2076",59132,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass",NA,"kg",NA,"Total aboveground biomass","1.49*((10^-1)*(X^2.09))","1.49*((10^-1)*(DBH^2.09))",NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,"77","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Bukit Soeharto Education Forest, East Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,-0.8667,117.01667,"Euphorbiaceae","Mallotus","paniculatus",NA,NA,NA,NA,NA,NA,NA,"Hiratsuka, M., Toma, T., Diana, R., Hadriyanto, D. & Morikawa, Y. 2006. Biomass recovery of naturally regenerated vegetation after the 1998 forest fire in East Kalimantan, Indonesia. Japan Agricultural Research Quarterly: JARQ. 40(3): 277-282.",NA,"UNREDD",NA,NA
"2077",59133,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass",NA,"kg",NA,"Total aboveground biomass","5.64*((10^-2)*(X^2.47))","5.64*((10^-2)*(DBH^2.47))",NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,"30","Individual",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Bukit Soeharto Education Forest, East Kalimantan",NA,"Indonesia","IDN","Asia",NA,NA,NA,NA,NA,-0.8667,117.01667,"Euphorbiaceae","Macaranga","gigantea",NA,NA,NA,NA,NA,NA,NA,"Hiratsuka, M., Toma, T., Diana, R., Hadriyanto, D. & Morikawa, Y. 2006. Biomass recovery of naturally regenerated vegetation after the 1998 forest fire in East Kalimantan, Indonesia. Japan Agricultural Research Quarterly: JARQ. 40(3): 277-282.",NA,"UNREDD",NA,NA
