"","ID_AE","Latitude","Longitude","Family","Genus","Species","X","Unit_X","Min_X","Max_X","Output","Output_TR","Unit_Y","Equation","RMSE","SEE","Corrected_for_bias","Substitute_equation","Sample_size","Veg_Component","Population","Location","Country","Ecoregion_WWF","Reference"
"1122",39468,4.17,102.25,"Dipterocarpaceae","Shorea","leprosula","DBH","mm",NA,NA,"Biomass",NA,"g","11.56755*(X^2.45983)",NA,NA,NA,"11.56755*((DBH)^2.45983)",265,"Aboveground biomass","Individual","Tekai Forest Reserve, Pahang","Malaysia","Tropical and subtropical moist broadleaf forests","Heriansyah, I., H. Abdul Hamid, A. Ainudin Nuruddin, A. Abdu and S. Ibrahim (2013). Measuring the Short-term Success of Hill Dipterocarp Forest Restoration: The Use of Organic Materials."
"1123",39475,11.03607,76.36604,"Fabaceae","Pterocarpus","marsupium","DBH","cm",NA,NA,"Biomass","log","kg","(-3.19198)+(2.828679*(log(X)))",NA,0.242,NA,"log Biomass=(-3.19198)+(2.828679*(log((DBH))))",30,"Bark,Branches,Leaves,Stump and Trunk","Individual","Thiruvazhamkunnu, Palakkad","India","Tropical and subtropical moist broadleaf forests","Kumar, B.M., George, S.J., Jamaludheen, V. & Suresh, T.K. 1998. Comparison of biomass production , tree allometry and nutrient use efficiency of multipurpose trees grown in woodlot and silvopastoral experiments in Kerala , India. Forest Ecology and Management, 112: 145?163."
"1124",39497,-7.09,107.67,"Pinaceae","Pinus","merkusii","DBH","cm",1.9,11,"Biomass",NA,"kg","0.197*(X^2.061)",NA,NA,NA,"0.197*((DBH)^2.061)",23,"Total tree biomass","Individual","Jawa Barat","Indonesia","Tropical and subtropical moist broadleaf forests","Krisnawati, H., W. C. Adinugroho and R. Imanuddin (2012). Monograph Allometric Models for Estimating Tree Biomass at Vrious Forest Ecosystem Types in Indonesia. Bogor, Indonesia, Research and Development Center for Conservation and Rehabilitation,  Forestry Research and Development Agency, Ministry of Forestry."
"1125",39498,-7.09,107.67,"Dipterocarpaceae","Shorea","leprosula","DBH","cm",5,95,"Biomass",NA,"kg","0.058*(X^2.62)",NA,NA,NA,"0.058*((DBH)^2.62)",98,"Stem+branch biomass","Individual","Jawa Barat","Indonesia","Tropical and subtropical moist broadleaf forests","Krisnawati, H., W. C. Adinugroho and R. Imanuddin (2012). Monograph Allometric Models for Estimating Tree Biomass at Vrious Forest Ecosystem Types in Indonesia. Bogor, Indonesia, Research and Development Center for Conservation and Rehabilitation,  Forestry Research and Development Agency, Ministry of Forestry."
"1126",39499,4.83776,-73.90108,"Ericaceae","Bejaria","resinosa","DBH","cm",10,50,"Biomass",NA,"kg","0.058*X^(2.664)",NA,NA,NA,"Biomass=0.058*(DBH)^(2.664)",10,"Stem+bark+leaves+branches","Individual","Reserva natural Encenillo, Cundinamarca","Colombia","Montane grasslands","Perez Lara, M; Diaz Timote, J. 2010. Estimacion del carbono contenido en la biomasa forestal aerea de dos bosques andinos en los departamentos de Santander y Cundinamarca. Ing. Forestal. CO., Universidad Distrital Francisco Jose de Caldas. 87 p. p."
"1127",39505,4.17,102.25,"Dipterocarpaceae","Shorea","leprosula","DBH","mm",NA,NA,"Biomass",NA,"g","10.51217*(X^2.46879)",NA,NA,NA,"10.51217*((DBH)^2.46879)",265,"Aboveground biomass","Individual","Tekai Forest Reserve, Pahang","Malaysia","Tropical and subtropical moist broadleaf forests","Heriansyah, I., H. Abdul Hamid, A. Ainudin Nuruddin, A. Abdu and S. Ibrahim (2013). Measuring the Short-term Success of Hill Dipterocarp Forest Restoration: The Use of Organic Materials."
"1128",39506,35.068,-83.4171,"Fagaceae","Quercus","alba","DBH","cm",7,63,"Biomass","log10","kg","#NAME?",NA,NA,TRUE,"log10 Biomass=-1.317+2.64*(LOG10((DBH)^(1)))",10,"Stem + branches (live)","Individual","Coweeta Hydrologic Laboratory, Nantahala National Forest, north Carolina","United States","Temperate broadleaf and mixed forests","Martin; J;  Kloeppel; B;  Schaefer; T;  Kimbler; D;  McNulty; S; 1998; Aboveground biomass and nitrogen allocation of ten deciduous southern Appalachian tree species; Canadian Journal of Forest Research; 28; 1648-1659;"
"1136",39530,2.166666667,117.3333333,"Dipterocarpaceae","Hopea","unknown","DBH","cm",6.5,135,"Biomass","Log","kg","(-1.813)+2.339*(log(X))",NA,0.184,TRUE,"(-1.813)+2.339*(log((DBH)))",20,"Total aboveground biomass","Individual","Labanan","Indonesia","Tropical and subtropical moist broadleaf forests","Basuki, T. M., P. E. van Laake, A. K. Skidmore and Y. A. Hussin (2009). ""Allometric equations for estimating the above-ground biomass in tropical lowland Dipterocarp forests."" Forest Ecology and Management 257(8): 1684-1694"
"1137",39530,2.35,118,"Dipterocarpaceae","Hopea","unknown","DBH","cm",6.5,135,"Biomass","Log","kg","(-1.813)+2.339*(log(X))",NA,0.184,TRUE,"(-1.813)+2.339*(log((DBH)))",20,"Total aboveground biomass","Individual","Puji Sempurna Raharja Forest","Indonesia","Mangroves","Basuki, T. M., P. E. van Laake, A. K. Skidmore and Y. A. Hussin (2009). ""Allometric equations for estimating the above-ground biomass in tropical lowland Dipterocarp forests."" Forest Ecology and Management 257(8): 1684-1694"
"1138",39550,22.925,-99.097222,"Tiliaceae","Tilia","americana var. mexicana","DBH","cm",NA,NA,"Biomass",NA,"kg","(0.048454*X^2.58164)",NA,NA,NA,"(0.048454*(DBH)^2.58164)",10,"Whole tree (aboveground)","Individual","Tamaulipas","Mexico",NA,"Rodr¨ªguez R., J. Jim¨¦nez, J. Meza, O. Aguirre y R. Razo. 2008. Carbono contenido en un bosque tropical subcaducifolio en la reserva de la biosfera el cielo, Tamaulipas, M¨¦xico. Revista Latinoamericana de Recursos Naturales 4 (2):215 -222."
