Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"541"",""Ilex mitis",Ilex mitis,,0.9,Accepted,Ilex mitis,(L.) Radlk.,Aquifoliaceae,tpl;tropicos, ,
"542"",""Psychotria mahonii",Psychotria mahonii,,0.9,Accepted,Psychotria mahonii,C.H.Wright,Rubiaceae,tpl, ,
"543"",""Macaranga barteri",Macaranga barteri,,0.9,Accepted,Macaranga barteri,M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"544"",""Bridelia micrantha",Bridelia micrantha,,0.9,Accepted,Bridelia micrantha,(Hochst.) Baill.,Phyllanthaceae,tpl;tropicos, ,
"545"",""Ficus sur",Ficus sur,,0.9,Accepted,Ficus sur,Forssk.,Moraceae,tpl;tropicos, ,
"546"",""Macaranga kilimandscharica",Macaranga kilimandscharica,,0.9,Accepted,Macaranga kilimandscharica,Pax,Euphorbiaceae,tpl, ,
"547"",""Prunus africana",Prunus africana,,0.9,Accepted,Prunus africana,(Hook.f.) Kalkman,Rosaceae,tpl, ,
"548"",""Leptonychia mildbraedii",Leptonychia mildbraedii,,0.9,Accepted,Leptonychia mildbraedii,Engl.,Malvaceae,tpl;tropicos, ,
"549"",""Carapa grandiflora",Carapa grandiflora,,0.9,Accepted,Carapa grandiflora,Sprague,Meliaceae,tpl, ,
"550"",""Macaranga kilimandscharica",Macaranga kilimandscharica,,0.9,Accepted,Macaranga kilimandscharica,Pax,Euphorbiaceae,tpl, ,
"551"",""Ilex mitis",Ilex mitis,,0.9,Accepted,Ilex mitis,(L.) Radlk.,Aquifoliaceae,tpl;tropicos, ,
"552"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"553"",""Erythrina abyssinica",Erythrina abyssinica,,0.9,No opinion,,,,tpl, ,
"554"",""Leptonychia mildbraedii",Leptonychia mildbraedii,,0.9,Accepted,Leptonychia mildbraedii,Engl.,Malvaceae,tpl;tropicos, ,
"555"",""Croton macrostachyus",Croton macrostachyus,,0.9,Accepted,Croton macrostachyus,Hochst. ex Delile,Euphorbiaceae,tpl;tropicos, ,
"556"",""Leptonychia mildbraedii",Leptonychia mildbraedii,,0.9,Accepted,Leptonychia mildbraedii,Engl.,Malvaceae,tpl;tropicos, ,
"557"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"558"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"559"",""Polyscias fulva",Polyscias fulva,,0.9,Accepted,Polyscias fulva,(Hiern) Harms,Araliaceae,tpl;tropicos, ,
"560"",""Myrianthus holstii",Myrianthus holstii,,0.9,Accepted,Myrianthus holstii,Engl.,Urticaceae,tpl;tropicos, ,
"561"",""Ocotea usambarensis",Ocotea usambarensis,,0.9,Accepted,Ocotea usambarensis,Engl.,Lauraceae,tpl;tropicos, ,
"562"",""unknown sppTEAM9",No suitable matches found.,,0,,,,,, ,
"563"",""Ficus natelensis",Ficus natalensis,,0.88,Accepted,Ficus natalensis,Hochst.,Moraceae,tpl;tropicos, ,
"564"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"565"",""Macaranga barteri",Macaranga barteri,,0.9,Accepted,Macaranga barteri,M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"566"",""Alangium chinense",Alangium chinense,,0.9,Accepted,Alangium chinense,(Lour.) Harms,Cornaceae,tpl;tropicos, ,
"567"",""Albizia gummifera",Albizia gummifera,,0.9,No opinion,,,,tpl, ,
"568"",""Prunus africana",Prunus africana,,0.9,Accepted,Prunus africana,(Hook.f.) Kalkman,Rosaceae,tpl, ,
"569"",""Alangium chinense",Alangium chinense,,0.9,Accepted,Alangium chinense,(Lour.) Harms,Cornaceae,tpl;tropicos, ,
"570"",""unknown sppTEAM2",No suitable matches found.,,0,,,,,, ,
"571"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"572"",""Ilex mitis",Ilex mitis,,0.9,Accepted,Ilex mitis,(L.) Radlk.,Aquifoliaceae,tpl;tropicos, ,
"573"",""Psychotria africana",Psychotria americana,,0.85,No opinion,,,,tpl;tropicos, ,
"574"",""unknown sppTEAM9",No suitable matches found.,,0,,,,,, ,
"575"",""Xymalos monospora",Xymalos monospora,,0.9,Accepted,Xymalos monospora,(Harv.) Baill.,Monimiaceae,tpl, ,
"576"",""Lovoa sppTEAM1",Lovoa,,0.9,Accepted,Lovoa,,Meliaceae,tpl, ,
"577"",""Carapa grandiflora",Carapa grandiflora,,0.9,Accepted,Carapa grandiflora,Sprague,Meliaceae,tpl, ,
"578"",""Xylopia sppTEAM2",Xylopia,,0.9,Accepted,Xylopia,,Annonaceae,tpl, ,
"579"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"580"",""Macaranga kilimandscharica",Macaranga kilimandscharica,,0.9,Accepted,Macaranga kilimandscharica,Pax,Euphorbiaceae,tpl, ,
"581"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"582"",""Erythrina abyssinica",Erythrina abyssinica,,0.9,No opinion,,,,tpl, ,
"583"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"584"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"585"",""Alangium chinense",Alangium chinense,,0.9,Accepted,Alangium chinense,(Lour.) Harms,Cornaceae,tpl;tropicos, ,
"586"",""Albizia gummifera",Albizia gummifera,,0.9,No opinion,,,,tpl, ,
"587"",""unknown sppTEAM9",No suitable matches found.,,0,,,,,, ,
"588"",""Bridelia micrantha",No suitable matches found.,,0,,,,,, ,
"589"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"590"",""Prunus africana",Prunus africana,,0.9,Accepted,Prunus africana,(Hook.f.) Kalkman,Rosaceae,tpl, ,
"591"",""Bridelia micrantha",Bridelia micrantha,,0.9,Accepted,Bridelia micrantha,(Hochst.) Baill.,Phyllanthaceae,tpl;tropicos, ,
