"","Var1","Freq"
"359","Total aboveground woody volume",1
"360","total AGB",14
"361","Total below ground",7
"362","total biomass",88
"363","Total biomass",43
"364","total branch",10
"365","Total branch biomass",4
"366","total foliage",10
"367","Total foliage biomass",10
"368","Total leaf biomass",4
"369","Total lost-root mass",0
"370","Total ovendry weight",12
"371","total overbark",0
"372","Total overbark",32
"373","Total root dry biomass",2
"374","Total stem biomass",14
"375","Total stem biomass (SW+SB)",6
"376","Total tree biomass",57
"377","total tree volume",1
"378","total tree volume - net harvestable tree volume under bark",1
"379","Total underbark",10
"380","total volume",21
"381","Total volume",3
"382","tree",0
"383","TREE",7
"384","Tree above-ground biomass",1
"385","Tree bark",1
"386","Tree biomass",0
"387","Tree branches",1
"388","Tree buds",1
"389","tree D>40",1
"390","Tree dry biomass",1
"391","Tree flowers",1
"392","Tree fresh biomass",1
"393","Tree leaves",1
"394","Tree roots",1
"395","Tree stemss without bark",1
"396","Tree volume",22
"397","Tree volume equation",17
"398","Tree volume of sawntimber",2
"399","treeDBH<40",1
"400","trunk",6
"401","Trunk",4
"402","Trunk biomass",2
"403","Trunk dry mass",4
"404","Trunk weight",5
"405","Trunk wood",0
"406","Twig biomass",34
"407","twigs",2
"408","Twigs",113
"409","Twigs and Leaves",3
"410","Twigs biomass",0
"411","Twigs old",3
"412","Twigs total",47
"413","Under bark volume",6
"414","underbark",1
"415","Underbark volume",28
"416","Understorey species, assumed to be trees less than 4 m high for our study.",1
"417","Understorey species, assumed to be trees less than 4 m high for our study. Up to 2cm of DBH",2
"418","Unweighted underbark volume",19
"419","Volume",672
"420","volume bois fort",0
"421","Volume dark red meranti group",4
"422","volume de bois de feu",0
"423","volume de l ensemble des billes utilisees",10
"424","volume des branches",1
"425","Volume dipterocarps",1
"426","volume du fut",3
"427","volume fort",1
"428","volume fut sur ecorce",1
"429","volume grume commercial",2
"430","volume grume sous ecorce",2
"431","Volume non meranti heavy hardwood dipterocarps",4
"432","Volume non meranti light hardwood dipterocarps",4
"433","Volume non meranti medium hardwood dipterocarps",4
"434","Volume non-dipterocarps",1
"435","Volume non-dipterocarps heavyhardwood",4
"436","Volume non-dipterocarps light hardwood",4
"437","Volume non-dipterocarps medium hardwood",4
"438","Volume of the tree at top diameter limit",1
"439","Volume red meranti group",4
"440","Volume unclassified group",4
"441","volume up to 7.5 cm overbark",1
"442","volume up to 7.5 cm underbark",1
"443","Volume white red meranti group",4
"444","Volume yellow meranti group",4
"445","volume- Equation applied on a stand basis",0
"446","Weighted underbark volume",10
"447","Whole tree",7
"448","Whole tree (above stump)",1410
"449","Whole tree (aboveground and belowground -excluded fruits)",3
"450","Whole tree (aboveground and belowground -excluded leave, bark and fruits)",3
"451","Whole tree (aboveground)",390
"452","Whole tree biomass",1
"453","Whole tree dry weight",30
"454","Whole tree fresh weight",19
"455","Whole tree ovendry weight",7
"456","Whole tree weight",12
"457","wood",9
"458","Wood",6
"459","Wood biomass",1
"460","Wood dry weight",30
"461","Wood fresh weight",19
"462","Wood ovendry weight",7
"463","Wood weight",12
"464","Wood, bark, branches (live + dead; no twigs or foliage)",0
"465","woody tissues",10
"466","Woody weight",0
"467","xylem volume",8
