"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"24459","Malvaceae","Sterculia","peruviana",0.404821666666667,0.0941339098036177,"genus",40
"24460","Malvaceae","Sterculia","pilosa",0.516666666666667,0.0708232617216773,"species",3
"24461","Malvaceae","Sterculia","pruriens",0.4862,0.0708232617216773,"species",5
"24462","Malvaceae","Sterculia","rebeccae",0.404821666666667,0.0941339098036177,"genus",40
"24463","Malvaceae","Sterculia","recordiana",0.49,0.0708232617216773,"species",2
"24464","Malvaceae","Sterculia","rhinopetala",0.673,0.0708232617216773,"species",4
"24465","Malvaceae","Sterculia","rubiginosa",0.404821666666667,0.0941339098036177,"genus",40
"24466","Malvaceae","Sterculia","rugosa",0.477666666666667,0.0708232617216773,"species",3
"24467","Malvaceae","Sterculia","schumannii",0.404821666666667,0.0941339098036177,"genus",40
"24468","Malvaceae","Sterculia","setigera",0.32,0.0708232617216773,"species",1
"24469","Malvaceae","Sterculia","speciosa",0.51,0.0708232617216773,"species",5
"24518","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24493","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24516","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24485","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24519","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24507","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24517","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24504","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24490","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24500","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24477","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24495","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24481","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24506","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24514","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24510","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24491","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24502","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24513","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24489","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24488","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24494","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24511","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24480","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24515","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
