"","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"sud_biomass20",36819,30.684,-88.7733,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass21",36819,32.3166,-88.0774,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass22",36819,31.8884,-87.3012,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass23",36819,31.7278,-88.0774,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass24",36819,30.684,-86.2574,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass25",36819,35.6956,-76.5957,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass26",36819,33.8957,-79.0847,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass27",36819,31.1925,-87.8633,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass28",36819,29.3726,-82.564,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass29",36819,33.4942,-79.4862,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass30",36819,36.7929,-76.8365,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass31",36819,29.8276,-82.9387,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass32",36819,29.3726,-81.6808,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass33",36819,29.9882,-81.7343,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass34",36819,30.3896,-81.7343,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass35",36819,31.0587,-82.1358,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass36",36819,32.2096,-81.3061,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
