"","LAT","LON","binomial","levelWD","biomass","DBH","quantity","biomass_portion","DBH_portion","abundacne_frequency"
"52",-0.992033849531824,28.3575187101779,"Millettia ferruginea","genus",3.58216422524029,145.004709449068,5,0.0103312067459746,0.00820232265778228,0.00834724540901502
"54",-0.992033849531824,28.3575187101779,"Podocarpus milanjianus","genus",0.46911136710527,28.334666196398,1,0.0013529492830905,0.00160277604380184,0.00166944908180301
"56",-0.992033849531824,28.3575187101779,"Psychotria africana","genus",1.23456336848081,59.4555079580337,2,0.00356056523341737,0.00336315463068065,0.00333889816360601
"58",-0.992033849531824,28.3575187101779,"Psychotria mahonii","genus",14.8674108020731,712.395897038347,24,0.0428786301005641,0.0402973188235737,0.0400667779632721
"62",-0.992033849531824,28.3575187101779,"Tabernaemontana holstii","genus",2.94460936911931,167.232400947771,6,0.0084924549143094,0.00945965214937402,0.010016694490818
"64",-0.992033849531824,28.3575187101779,"Tabernaemontana sppTEAM1","genus",0.550207247639773,29.3048494257845,1,0.00158683535178201,0.00165765533644573,0.00166944908180301
"65",-0.992033849531824,28.3575187101779,"Trichoscypha submontana","genus",1.45770363899239,61.2912331845795,2,0.00420411704261818,0.00346699408993936,0.00333889816360601
"68",-0.992033849531824,28.3575187101779,"Vepris nobilis","genus",0.928237504412486,33.2864027519132,1,0.00267710048017399,0.00188287550470202,0.00166944908180301
"69",-0.992033849531824,28.3575187101779,"Xylopia sppTEAM2","genus",0.397412129003011,24.6355759931514,1,0.00114616377416717,0.00139353365779557,0.00166944908180301
"70",-0.992033849531824,28.3575187101779,"Alangium chinense","species",10.7346558438734,710.509327790604,24,0.0309594820049048,0.0401906033262286,0.0400667779632721
"74",-0.992033849531824,28.3575187101779,"Albizia gummifera","species",9.04964039286855,467.825045286687,16,0.0260997821419468,0.0264629471926277,0.0267111853088481
"76",-0.992033849531824,28.3575187101779,"Allophylus abyssinicus","species",5.48694209651759,247.680143873114,8,0.015824716466904,0.0140102515545317,0.013355592654424
"78",-0.992033849531824,28.3575187101779,"Bersama abyssinica","species",0.768495723549702,31.5955891218242,1,0.002216394253353,0.00178723310108039,0.00166944908180301
"79",-0.992033849531824,28.3575187101779,"Bridelia micrantha","species",10.6704719226268,580.463460932121,20,0.0307743711840512,0.0328344411413105,0.0333889816360601
"81",-0.992033849531824,28.3575187101779,"Carapa grandiflora","species",17.3851617806089,856.977142799111,29,0.050139996207359,0.0484756878744799,0.0484140233722871
"85",-0.992033849531824,28.3575187101779,"Chrysophyllum albidum","species",0.929318226030648,34.4363179782255,1,0.0026802173552724,0.00194792150045724,0.00166944908180301
"87",-0.992033849531824,28.3575187101779,"Croton macrostachyus","species",2.89087489402272,170.476922581258,6,0.00833748101118746,0.00964318145272648,0.010016694490818
"90",-0.992033849531824,28.3575187101779,"Entandrophragma excelsum","species",0.349405459103625,25.0709734837661,1,0.00100770925317629,0.00141816231100262,0.00166944908180301
"92",-0.992033849531824,28.3575187101779,"Erythrina abyssinica","species",1.78244278826568,97.4343461043673,3,0.0051406869703772,0.00551146199136906,0.00500834724540901
"94",-0.992033849531824,28.3575187101779,"Ficalhoa laurifolia","species",0.4227859412855,25.5930216038569,1,0.00121934358506943,0.00144769243550783,0.00166944908180301
"95",-0.992033849531824,28.3575187101779,"Funtumia africana","species",0.318510313634184,25.4814114567012,1,0.000918605539548992,0.00144137910649713,0.00166944908180301
"97",-0.992033849531824,28.3575187101779,"Harungana madagascariensis","species",1.13174345666771,61.8562358450289,2,0.00326402557198607,0.00349895397690523,0.00333889816360601
"99",-0.992033849531824,28.3575187101779,"Ilex mitis","species",16.131231577807,809.706093686254,27,0.0465235756985257,0.0458017581885498,0.0450751252086811
"102",-0.992033849531824,28.3575187101779,"Macaranga kilimandscharica","species",7.4533274001185,515.88421934709,18,0.0214959062383288,0.0291814578796782,0.0300500834724541
"104",-0.992033849531824,28.3575187101779,"Maesa lanceolata","species",7.90598698998363,288.803920248852,9,0.0228014074700964,0.0163364551931712,0.015025041736227
"107",-0.992033849531824,28.3575187101779,"Maesopsis eminii","species",1.1476817883394,85.3110231981288,3,0.00330999281115562,0.00482569525634878,0.00500834724540901
"109",-0.992033849531824,28.3575187101779,"Margaritaria discoidea","species",1.9196034383469,65.1832791671813,2,0.00553626767084222,0.00368715119428113,0.00333889816360601
"111",-0.992033849531824,28.3575187101779,"Markhamia lutea","species",0.421602712282363,27.3580002775733,1,0.00121593107165837,0.00154753005196132,0.00166944908180301
"112",-0.992033849531824,28.3575187101779,"Myrianthus holstii","species",11.1178133919646,642.579787257537,22,0.0320645345923095,0.0363481073716898,0.0367278797996661
"115",-0.992033849531824,28.3575187101779,"Neoboutonia macrocalyx","species",1.35542253881109,95.8049403764008,3,0.00390913135080282,0.00541929318132145,0.00500834724540901
