"","GFBIRawName","family","genus","species","meanWD","sdWD","levelWD","nInd"
"14469","Maesobotrya sppGA1","Phyllanthaceae","Maesobotrya",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14470","Maesobotrya staudtii","Phyllanthaceae","Maesobotrya","staudtii",0.611226809845203,0.143078472955927,"dataset",20772
"14471","Maesopsis eminii","Rhamnaceae","Maesopsis","eminii",0.3835,0.0708232617216773,"species",4
"14472","Maesopsis sppCM1","Rhamnaceae","Maesopsis",NA,0.3835,0.0941339098036177,"genus",1
"14473","Maesopsis sppFPnet1","Rhamnaceae","Maesopsis",NA,0.3835,0.0941339098036177,"genus",1
"14474","Maesopsis sppNdakani1","Rhamnaceae","Maesopsis",NA,0.3835,0.0941339098036177,"genus",1
"14475","Magnistipula butayei","Chrysobalanaceae","Magnistipula","butayei",0.611226809845203,0.143078472955927,"dataset",20772
"14476","Magnistipula conrauana","Chrysobalanaceae","Magnistipula","conrauana",0.611226809845203,0.143078472955927,"dataset",20772
"14477","Magnistipula cuneatifolia","Chrysobalanaceae","Magnistipula","cuneatifolia",0.611226809845203,0.143078472955927,"dataset",20772
"14478","Magnistipula glaberrima","Chrysobalanaceae","Magnistipula","glaberrima",0.611226809845203,0.143078472955927,"dataset",20772
"14479","Magnistipula sppGA1","Chrysobalanaceae","Magnistipula",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14480","Magnistipula tessmannii","Chrysobalanaceae","Magnistipula","tessmannii",0.611226809845203,0.143078472955927,"dataset",20772
"14481","Magnolia acuminata","Magnoliaceae","Magnolia","acuminata",0.44,0.0708232617216773,"species",1
"14482","Magnolia champaca","Magnoliaceae","Magnolia","champaca",0.504583333333333,0.0941339098036177,"genus",20
"14483","Magnolia cylindrica","Magnoliaceae","Magnolia","cylindrica",0.504583333333333,0.0941339098036177,"genus",20
"14484","Magnolia denudata","Magnoliaceae","Magnolia","denudata",0.44,0.0708232617216773,"species",1
"14485","Magnolia elegans","Magnoliaceae","Magnolia","elegans",0.483333333333333,0.0708232617216773,"species",3
"14486","Magnolia fraseri","Magnoliaceae","Magnolia","fraseri",0.4,0.0708232617216773,"species",1
"14487","Magnolia gigantifolia","Magnoliaceae","Magnolia","gigantifolia",0.56,0.0708232617216773,"species",1
"14488","Magnolia gigantostacia","Magnoliaceae","Magnolia",NA,0.504583333333333,0.0941339098036177,"genus",20
"14489","Magnolia grandiflora","Magnoliaceae","Magnolia","grandiflora",0.437333333333333,0.0708232617216773,"species",3
"14490","Magnolia griffithii","Magnoliaceae","Magnolia","griffithii",0.504583333333333,0.0941339098036177,"genus",20
"14491","Magnolia hodgsonii","Magnoliaceae","Magnolia","hodgsonii",0.62,0.0708232617216773,"species",1
"14492","Magnolia iltisii","Magnoliaceae","Magnolia",NA,0.504583333333333,0.0941339098036177,"genus",20
"14493","Magnolia kachirachirae","Magnoliaceae","Magnolia","kachirachirai",0.504583333333333,0.0941339098036177,"genus",20
"14494","Magnolia kobus","Magnoliaceae","Magnolia","kobus",0.504583333333333,0.0941339098036177,"genus",20
