"","LatRound","Type","mean","lowCI","highCI"
"30",-52.8,"GS",23.0707214792958,-10.3740397991284,56.5154827577201
"31",-52.7,"GS",20.2146544512009,-8.02857406432185,48.4578829667236
"32",-52.6,"GS",17.0495470632402,-3.16116898083016,37.2602631073105
"33",-52.5,"GS",30.1714028796877,-4.68800330553993,65.0308090649154
"34",-52.4,"GS",36.4246641425422,0.990295252376157,71.8590330327083
"35",-52.3,"GS",29.0557257011961,-1.21030421299582,59.3217556153881
"36",-52.2,"GS",29.2208230345906,-3.71650507592391,62.1581511451052
"37",-52.1,"GS",28.9661879172656,-6.05353339296743,63.9859092274987
"38",-52,"GS",25.071992454397,-7.63962340484524,57.7836083136393
"39",-51.9,"GS",17.2761841046239,-4.77920562872803,39.3315738379758
"40",-51.8,"GS",20.634070087298,-7.30362716483809,48.571767339434
"41",-51.7,"GS",17.3355867339377,-6.69572555878372,41.3668990266592
"42",-51.6,"GS",15.3657382092151,-5.22168281679746,35.9531592352278
"43",-51.5,"GS",15.6052593648584,-10.3692234406231,41.57974217034
"44",-51.4,"GS",17.013898666546,-5.80609566329599,39.8338929963879
"45",-51.3,"GS",22.9645127651703,-5.5333700475312,51.4623955778718
"46",-51.2,"GS",23.2249918332389,-4.60729928429406,51.0572829507719
"47",-51.1,"GS",19.9561814446922,-4.47638422313137,44.3887471125157
"48",-51,"GS",18.6075873410693,-3.31639365278082,40.5315683349194
"49",-50.9,"GS",21.0252423821609,-3.6814806006911,45.7319653650129
"50",-50.8,"GS",23.1145245518125,-2.67803716433582,48.9070862679608
"51",-50.7,"GS",25.0496791825926,-4.2827370482026,54.3820954133879
"52",-50.6,"GS",24.2893596873902,-6.06052862530175,54.6392480000822
"53",-50.5,"GS",24.7264417105692,-3.70262388070471,53.155507301843
"54",-50.4,"GS",26.5436511719142,-2.14972829942548,55.2370306432539
"55",-50.3,"GS",28.9184630269648,-1.99858177220358,59.8355078261332
"56",-50.2,"GS",26.4247381185855,-0.120950339540734,52.9704265767118
"57",-50.1,"GS",25.4509386856362,-2.33550495527819,53.2373823265506
"58",-50,"GS",24.2315907737854,-2.00724863269141,50.4704301802621
"59",-49.9,"GS",23.4892071421993,0.809332354060174,46.1690819303384
"60",-49.8,"GS",27.2749923178244,-2.11569584410396,56.6656804797527
"61",-49.7,"GS",29.3870520935244,-5.81145452882987,64.5855587158786
"62",-49.6,"GS",25.0194525865681,-0.358575464103566,50.3974806372397
"63",-49.5,"GS",20.241833963431,0.17562379248324,40.3080441343787
"64",-49.4,"GS",21.9646652446716,-0.826984987027028,44.7563154763703
"65",-49.3,"GS",24.786713632742,-1.88610277380482,51.4595300392888
"66",-49.2,"GS",26.5784080494856,0.570443651276566,52.5863724476945
"67",-49.1,"GS",26.5961442905681,0.818378165783884,52.3739104153523
"68",-49,"GS",29.0964690808429,0.197936047929062,57.9950021137568
"69",-48.9,"GS",31.5931418076192,1.08670468001561,62.0995789352227
"70",-48.8,"GS",35.7307318126481,3.13797240302132,68.3234912222748
"71",-48.7,"GS",30.9436488579965,-0.183451378883806,62.0707490948768
"72",-48.6,"GS",32.1872146871161,0.974441676912523,63.3999876973197
"73",-48.5,"GS",31.4590728309277,1.42609063563102,61.4920550262244
"74",-48.4,"GS",31.7885704988309,0.823880641739098,62.7532603559227
"75",-48.3,"GS",35.2771700562215,5.30845465653501,65.2458854559081
"76",-48.2,"GS",38.1101833952138,7.28860759370968,68.9317591967178
"77",-48.1,"GS",34.9576032595704,5.53364940308699,64.3815571160537
"78",-48,"GS",43.8653526267939,10.0741115192603,77.6565937343275
"79",-47.9,"GS",39.5257834366753,5.84336065551229,73.2082062178382
"80",-47.8,"GS",37.8026626305002,2.66246346676048,72.9428617942399
"81",-47.7,"GS",44.8487676023966,6.29354861413243,83.4039865906607
"82",-47.6,"GS",42.1321243691954,4.31258446181483,79.9516642765759
"83",-47.5,"GS",35.8481588389452,1.7353474910372,69.9609701868532
"84",-47.4,"GS",35.4653771428579,2.7015388614713,68.2292154242444
"85",-47.3,"GS",35.1156186026654,1.02506495931883,69.206172246012
"86",-47.2,"GS",37.2319147917601,-0.234219999221416,74.6980495827415
"87",-47.1,"GS",52.2176835008848,3.0398086301006,101.395558371669
"88",-47,"GS",66.6541021675983,11.0658210280709,122.242383307126
"89",-46.9,"GS",61.2819981364346,8.98913157885985,113.574864694009
"90",-46.8,"GS",60.8172790212057,7.24004362364754,114.394514418764
"91",-46.7,"GS",63.4025134291709,10.6075002107317,116.19752664761
"92",-46.6,"GS",65.1332940866354,8.7876521695426,121.478936003728
"93",-46.5,"GS",61.1033068435311,5.03360889292669,117.173004794135
"94",-46.4,"GS",61.0258165111448,5.15535792620507,116.896275096085
"95",-46.3,"GS",52.2321337012026,-2.32048209103677,106.784749493442
"96",-46.2,"GS",61.5699019660335,1.1624963295997,121.977307602467
"97",-46.1,"GS",62.7190806738218,1.62696786712176,123.811193480522
"98",-46,"GS",56.1868556311847,-2.21185140749417,114.585562669864
"99",-45.9,"GS",61.2881020439877,-0.0885435809088406,122.664747668884
"100",-45.8,"GS",58.6190731481766,-1.74032071567109,118.978467012024
"101",-45.7,"GS",61.1455886943146,-3.07866347358171,125.369840862211
"102",-45.6,"GS",59.3230610912364,-5.46928678818273,124.115408970655
"103",-45.5,"GS",63.4221687747179,-2.75019662252377,129.59453417196
"104",-45.4,"GS",49.8617481019089,-8.89090640455532,108.614402608373
"105",-45.3,"GS",60.1787292479712,-3.02203317163354,123.379491667576
"106",-45.2,"GS",58.7447298974575,-5.28161740638932,122.771077201304
"107",-45.1,"GS",57.7369912470914,-6.45574885252458,121.929731346707
"108",-45,"GS",55.778938793935,-8.34495781928462,119.902835407155
"109",-44.9,"GS",52.7618988881684,-9.88661251397588,115.410410290313
"110",-44.8,"GS",51.8589323612601,-12.659438508317,116.377303230837
"111",-44.7,"GS",60.5526362832588,-8.26571030895269,129.37098287547
"112",-44.6,"GS",55.2584839663712,-11.2675423839798,121.784510316722
"113",-44.5,"GS",56.702660777573,-9.49295876496616,122.898280320112
"114",-44.4,"GS",53.8930012805231,-10.4539522804245,118.239954841471
"115",-44.3,"GS",59.9980077461847,-5.90017417765277,125.896189670022
"116",-44.2,"GS",67.5768436035442,-0.176432114985744,135.330119322074
"117",-44.1,"GS",66.82065931364,0.471780720305773,133.169537906974
"118",-44,"GS",62.1820305841288,-1.68919703657139,126.053258204829
"119",-43.9,"GS",56.282468420469,-7.66519756906114,120.230134409999
"120",-43.8,"GS",46.2357774590637,-13.5244755599225,105.99603047805
"121",-43.7,"GS",47.4181329858623,-13.6553867542049,108.491652725929
"122",-43.6,"GS",52.0833746232214,-7.67197213700021,111.838721383443
"123",-43.5,"GS",58.6789726581903,-3.39501024218256,120.752955558563
"124",-43.4,"GS",70.6443717845821,7.46684090530642,133.821902663858
"125",-43.3,"GS",68.0069838020017,5.27089379401693,130.743073809986
"126",-43.2,"GS",74.8314848880525,15.178168356171,134.484801419934
"127",-43.1,"GS",74.9902395557157,15.6061561397329,134.374322971699
"128",-43,"GS",77.2304922071017,16.8312031250317,137.629781289172
"129",-42.9,"GS",76.6144279980283,14.8792936448313,138.349562351225
"130",-42.8,"GS",76.1690917699848,15.8764443189989,136.461739220971
"131",-42.7,"GS",76.1484094692123,15.4233993732202,136.873419565204
"132",-42.6,"GS",77.814264076955,18.3357911336547,137.292737020255
"133",-42.5,"GS",81.7928840995572,22.3877421734856,141.198026025629
"134",-42.4,"GS",72.6926129732619,9.11565155551472,136.269574391009
"135",-42.3,"GS",75.5098833225791,12.3562079423363,138.663558702822
"136",-42.2,"GS",76.3675735602244,14.6788433674721,138.056303752977
"137",-42.1,"GS",74.1876369810207,13.1419100364535,135.233363925588
"138",-42,"GS",77.5635953682009,18.1311434922097,136.996047244192
"139",-41.9,"GS",83.3388680864592,24.3145656203418,142.363170552577
"140",-41.8,"GS",78.6804432877367,18.526286259796,138.834600315677
"141",-41.7,"GS",84.0247509995451,26.8531244757844,141.196377523306
"142",-41.6,"GS",83.4311425368825,25.583816266695,141.27846880707
"143",-41.5,"GS",82.2532617679808,28.2473727528081,136.259150783154
"144",-41.4,"GS",87.0773376970028,36.1592466177975,137.995428776208
"145",-41.3,"GS",81.6138677047796,28.2523822563602,134.975353153199
"146",-41.2,"GS",73.3928595236699,19.3898479909008,127.395871056439
"147",-41.1,"GS",73.730947290135,21.9400609060728,125.521833674197
"148",-41,"GS",73.2674152415604,18.9322753260731,127.602555157048
"149",-40.9,"GS",64.8657420594961,10.0191686246647,119.712315494327
"150",-40.8,"GS",59.5710877578368,4.91430474908127,114.227870766592
"151",-40.7,"GS",55.7452233686675,1.8909995479793,109.599447189356
"152",-40.6,"GS",46.2307372108245,-3.56731803416729,96.0287924558164
