"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","Year","WWF_Biome"
"76",33171,"GAB-RLE20",1,138672,-1.3987,13.73054,"Duvigneaudia inopinata",31.39999962,2004,7
"77",33172,"GAB-RLE20",1,138669,-1.3987,13.73054,"Duvigneaudia inopinata",33.40000153,2006,7
"78",33173,"GAB-RLE20",1,138671,-1.3987,13.73054,"Duvigneaudia inopinata",33,2004,7
"79",33174,"GAB-RLE20",1,138667,-1.3987,13.73054,"Duvigneaudia inopinata",35.59999847,2006,7
"80",33175,"GAB-RLE20",1,138712,-1.3987,13.73054,"Eriocoelum sppGA3",16.10000038,2004,7
"81",33176,"GAB-RLE20",1,138713,-1.3987,13.73054,"Eriocoelum sppGA3",16.10000038,2006,7
"82",33177,"GAB-RLE20",1,138862,-1.3987,13.73054,"Funtumia sppGA1",10.05000019,2004,7
"83",33178,"GAB-RLE20",1,138845,-1.3987,13.73054,"Funtumia sppGA1",12.10000038,2006,7
"84",33179,"GAB-RLE20",1,138841,-1.3987,13.73054,"Funtumia sppGA1",12.60000038,2004,7
"85",33180,"GAB-RLE20",1,138842,-1.3987,13.73054,"Funtumia sppGA1",12.60000038,2006,7
"86",33181,"GAB-RLE20",1,138838,-1.3987,13.73054,"Funtumia sppGA1",13.02999973,2004,7
"87",33182,"GAB-RLE20",1,138824,-1.3987,13.73054,"Funtumia sppGA1",14.39999962,2006,7
"88",33183,"GAB-RLE20",1,138811,-1.3987,13.73054,"Funtumia sppGA1",15.69999981,2006,7
"89",33184,"GAB-RLE20",1,138810,-1.3987,13.73054,"Funtumia sppGA1",15.80000019,2004,7
"90",33185,"GAB-RLE20",1,138763,-1.3987,13.73054,"Funtumia sppGA1",22.39999962,2006,7
"91",33186,"GAB-RLE20",1,138762,-1.3987,13.73054,"Funtumia sppGA1",22.5,2004,7
"92",33187,"GAB-RLE20",1,138750,-1.3987,13.73054,"Funtumia sppGA1",26.10000038,2004,7
"93",33188,"GAB-RLE20",1,138747,-1.3987,13.73054,"Funtumia sppGA1",26.5,2006,7
"94",33189,"GAB-RLE20",1,138737,-1.3987,13.73054,"Funtumia sppGA1",29.5,2006,7
"95",33190,"GAB-RLE20",1,138736,-1.3987,13.73054,"Funtumia sppGA1",29.60000038,2004,7
"96",33191,"GAB-RLE20",1,138734,-1.3987,13.73054,"Funtumia sppGA1",29.79999924,2004,7
"97",33192,"GAB-RLE20",1,138732,-1.3987,13.73054,"Funtumia sppGA1",30.39999962,2006,7
"98",33193,"GAB-RLE20",1,138721,-1.3987,13.73054,"Funtumia sppGA1",55.59999847,2004,7
"99",33194,"GAB-RLE20",1,138720,-1.3987,13.73054,"Funtumia sppGA1",55.70000076,2006,7
"100",33195,"GAB-RLE20",1,138942,-1.3987,13.73054,"Greenwayodendron suaveolens",10.19999981,2004,7
"101",33196,"GAB-RLE20",1,138941,-1.3987,13.73054,"Greenwayodendron suaveolens",10.39999962,2006,7
"102",33197,"GAB-RLE20",1,138934,-1.3987,13.73054,"Greenwayodendron suaveolens",11.39999962,2004,7
"103",33198,"GAB-RLE20",1,138930,-1.3987,13.73054,"Greenwayodendron suaveolens",11.80000019,2006,7
"104",33199,"GAB-RLE20",1,138926,-1.3987,13.73054,"Greenwayodendron suaveolens",12.10000038,2004,7
"105",33200,"GAB-RLE20",1,138924,-1.3987,13.73054,"Greenwayodendron suaveolens",12.69999981,2004,7
"106",33201,"GAB-RLE20",1,138921,-1.3987,13.73054,"Greenwayodendron suaveolens",13.69999981,2006,7
"107",33202,"GAB-RLE20",1,138918,-1.3987,13.73054,"Greenwayodendron suaveolens",14.09000015,2004,7
"108",33203,"GAB-RLE20",1,138913,-1.3987,13.73054,"Greenwayodendron suaveolens",14.5,2004,7
"109",33204,"GAB-RLE20",1,138914,-1.3987,13.73054,"Greenwayodendron suaveolens",14.5,2006,7
"110",33205,"GAB-RLE20",1,138912,-1.3987,13.73054,"Greenwayodendron suaveolens",15.02999973,2004,7
"111",33206,"GAB-RLE20",1,138910,-1.3987,13.73054,"Greenwayodendron suaveolens",15.39999962,2004,7
"112",33207,"GAB-RLE20",1,138909,-1.3987,13.73054,"Greenwayodendron suaveolens",15.60000038,2004,7
"113",33208,"GAB-RLE20",1,138908,-1.3987,13.73054,"Greenwayodendron suaveolens",15.80000019,2006,7
"114",33209,"GAB-RLE20",1,138904,-1.3987,13.73054,"Greenwayodendron suaveolens",16.29999924,2006,7
"115",33210,"GAB-RLE20",1,138905,-1.3987,13.73054,"Greenwayodendron suaveolens",16.29999924,2006,7
"116",33211,"GAB-RLE20",1,138903,-1.3987,13.73054,"Greenwayodendron suaveolens",16.5,2006,7
"117",33212,"GAB-RLE20",1,138907,-1.3987,13.73054,"Greenwayodendron suaveolens",16,2004,7
"118",33213,"GAB-RLE20",1,138901,-1.3987,13.73054,"Greenwayodendron suaveolens",17.20000076,2004,7
"119",33214,"GAB-RLE20",1,138899,-1.3987,13.73054,"Greenwayodendron suaveolens",17.39999962,2006,7
"120",33215,"GAB-RLE20",1,138897,-1.3987,13.73054,"Greenwayodendron suaveolens",17.70000076,2006,7
"121",33216,"GAB-RLE20",1,138893,-1.3987,13.73054,"Greenwayodendron suaveolens",18.5,2004,7
"122",33217,"GAB-RLE20",1,138894,-1.3987,13.73054,"Greenwayodendron suaveolens",18.5,2004,7
"123",33218,"GAB-RLE20",1,138892,-1.3987,13.73054,"Greenwayodendron suaveolens",18.89999962,2006,7
"124",33219,"GAB-RLE20",1,138888,-1.3987,13.73054,"Greenwayodendron suaveolens",19.89999962,2006,7
"125",33220,"GAB-RLE20",1,138887,-1.3987,13.73054,"Greenwayodendron suaveolens",20.06999969,2004,7
"126",33221,"GAB-RLE20",1,138885,-1.3987,13.73054,"Greenwayodendron suaveolens",20.79999924,2006,7
"127",33222,"GAB-RLE20",1,138883,-1.3987,13.73054,"Greenwayodendron suaveolens",24.05999947,2004,7
"128",33223,"GAB-RLE20",1,138882,-1.3987,13.73054,"Greenwayodendron suaveolens",25,2006,7
"129",33224,"GAB-RLE20",1,138880,-1.3987,13.73054,"Greenwayodendron suaveolens",26.5,2004,7
"130",33225,"GAB-RLE20",1,138881,-1.3987,13.73054,"Greenwayodendron suaveolens",26.5,2006,7
"131",33226,"GAB-RLE20",1,138876,-1.3987,13.73054,"Greenwayodendron suaveolens",34.20000076,2006,7
"132",33227,"GAB-RLE20",1,138877,-1.3987,13.73054,"Greenwayodendron suaveolens",34,2004,7
"133",33228,"GAB-RLE20",1,138966,-1.3987,13.73054,"Harungana madagascariensis",10,2006,7
"134",33229,"GAB-RLE20",1,138965,-1.3987,13.73054,"Harungana madagascariensis",13.10000038,2006,7
"135",33230,"GAB-RLE20",1,138964,-1.3987,13.73054,"Harungana madagascariensis",13.89999962,2006,7
